DATE,Hour,Temperature,Aniket_Thopte
3-Jan-06,23,56.28,1130855
3-Jan-06,24,55.28,1061993
4-Jan-06,1,52.68,961637
4-Jan-06,2,52.28,937459
4-Jan-06,3,51.36,944509
4-Jan-06,4,50.12,958899
4-Jan-06,5,49.2,1031984
4-Jan-06,6,48.68,1168982
4-Jan-06,7,47.72,1419975
4-Jan-06,8,48.24,1626241
4-Jan-06,9,53.6,1529266
4-Jan-06,10,58.76,1356469
4-Jan-06,11,63.72,1204146
4-Jan-06,12,66.6,1127288
4-Jan-06,13,68.48,1099330
4-Jan-06,14,69.76,1058226
4-Jan-06,15,70.32,1047649
4-Jan-06,16,69.88,1025049
4-Jan-06,17,68.16,1074136
4-Jan-06,18,63.28,1197259
4-Jan-06,19,59.36,1303650
4-Jan-06,20,57.28,1391949
4-Jan-06,21,55.56,1354365
4-Jan-06,22,54.4,1284479
4-Jan-06,23,53.28,1201346
4-Jan-06,24,52.28,1114122
5-Jan-06,1,51.4,995677
5-Jan-06,2,50.64,964177
5-Jan-06,3,50.16,968507
5-Jan-06,4,49.84,961337
5-Jan-06,5,49.76,996075
5-Jan-06,6,49.2,1188732
5-Jan-06,7,48.76,1400985
5-Jan-06,8,49.76,1529265
5-Jan-06,9,54.28,1446615
5-Jan-06,10,58.96,1322858
5-Jan-06,11,64.48,1204923
5-Jan-06,12,67.64,1098530
5-Jan-06,13,69.64,1067646
5-Jan-06,14,71.2,1039503
5-Jan-06,15,71.52,1063295
5-Jan-06,16,70.92,1049369
5-Jan-06,17,69.16,1046695
5-Jan-06,18,65.92,1136022
5-Jan-06,19,64,1268589
5-Jan-06,20,62.64,1282130
5-Jan-06,21,61.88,1226370
5-Jan-06,22,60.64,1167938
5-Jan-06,23,59.84,1056342
5-Jan-06,24,58.36,939167
6-Jan-06,1,56.2,855892
6-Jan-06,2,54.88,871221
6-Jan-06,3,52.96,890044
6-Jan-06,4,50.96,937805
6-Jan-06,5,49.08,1050136
6-Jan-06,6,47.88,1260249
6-Jan-06,7,46.96,1504589
6-Jan-06,8,46.6,1680022
6-Jan-06,9,48.76,1730852
6-Jan-06,10,50.4,1744196
6-Jan-06,11,52.76,1634650
6-Jan-06,12,53.92,1491776
6-Jan-06,13,55.08,1405405
6-Jan-06,14,55.72,1330583
6-Jan-06,15,55.64,1294816
6-Jan-06,16,55,1309679
6-Jan-06,17,53.4,1389561
6-Jan-06,18,51.12,1578102
6-Jan-06,19,49.32,1732958
6-Jan-06,20,48.28,1755432
6-Jan-06,21,46.56,1794295
6-Jan-06,22,45.36,1758036
6-Jan-06,23,44.56,1664042
6-Jan-06,24,43.96,1647018
7-Jan-06,1,41.4,1613595
7-Jan-06,2,40,1667087
7-Jan-06,3,38.92,1745894
7-Jan-06,4,38.24,1826084
7-Jan-06,5,37.24,1959381
7-Jan-06,6,36.64,2188036
7-Jan-06,7,35.88,2322542
7-Jan-06,8,36.56,2370183
7-Jan-06,9,39.8,2242283
7-Jan-06,10,42.36,2149928
7-Jan-06,11,46,1956204
7-Jan-06,12,48.4,1796316
7-Jan-06,13,51.08,1579082
7-Jan-06,14,53.04,1396692
7-Jan-06,15,53.8,1328880
7-Jan-06,16,54.24,1328203
7-Jan-06,17,53.04,1412329
7-Jan-06,18,49.2,1705536
7-Jan-06,19,45.12,1900492
7-Jan-06,20,42.48,2010215
7-Jan-06,21,41.48,2034888
7-Jan-06,22,40.4,2038076
7-Jan-06,23,39.76,1974346
7-Jan-06,24,38.88,2004369
8-Jan-06,1,37.56,1813419
8-Jan-06,2,36.64,1934876
8-Jan-06,3,35.44,2038977
8-Jan-06,4,35.64,2027769
8-Jan-06,5,35.44,2163206
8-Jan-06,6,35.4,2245078
8-Jan-06,7,34.36,2400768
8-Jan-06,8,35.32,2382483
8-Jan-06,9,43.28,2081623
8-Jan-06,10,51.04,1708637
8-Jan-06,11,57.28,1449351
8-Jan-06,12,60.64,1316417
8-Jan-06,13,62.84,1190150
8-Jan-06,14,64.08,1116421
8-Jan-06,15,64.52,1068808
8-Jan-06,16,64.48,1063150
8-Jan-06,17,63,1128752
8-Jan-06,18,58.76,1253509
8-Jan-06,19,54.44,1453964
8-Jan-06,20,52.12,1575240
8-Jan-06,21,50.68,1589574
8-Jan-06,22,49.08,1521150
8-Jan-06,23,48.16,1476613
8-Jan-06,24,47.6,1422308
9-Jan-06,1,46.56,1255584
9-Jan-06,2,45.8,1268231
9-Jan-06,3,45,1290632
9-Jan-06,4,44.96,1282819
9-Jan-06,5,43.76,1434014
9-Jan-06,6,43.16,1638097
9-Jan-06,7,42.08,1847784
9-Jan-06,8,43.8,1924228
9-Jan-06,9,51.56,1664773
9-Jan-06,10,59.04,1322971
9-Jan-06,11,64.04,1198115
9-Jan-06,12,67.04,1107894
9-Jan-06,13,69.08,1085238
9-Jan-06,14,69.88,1060216
9-Jan-06,15,70.36,1050794
9-Jan-06,16,70.44,1050506
9-Jan-06,17,68.96,1058877
9-Jan-06,18,63.2,1198676
9-Jan-06,19,58.44,1335458
9-Jan-06,20,56.56,1398246
9-Jan-06,21,54.84,1382284
9-Jan-06,22,53.44,1305225
9-Jan-06,23,52.6,1190311
9-Jan-06,24,52.24,1113655
10-Jan-06,1,50.8,1001782
10-Jan-06,2,50.08,990369
10-Jan-06,3,49.8,968827
10-Jan-06,4,49.96,964296
10-Jan-06,5,50.08,1015255
10-Jan-06,6,49.76,1183274
10-Jan-06,7,50.2,1342256
10-Jan-06,8,51.68,1488165
10-Jan-06,9,57.4,1343987
10-Jan-06,10,63.36,1169494
10-Jan-06,11,68.72,1120606
10-Jan-06,12,71.32,1106015
10-Jan-06,13,72.8,1095408
10-Jan-06,14,73.72,1110368
10-Jan-06,15,73.36,1084119
10-Jan-06,16,72.92,1091260
10-Jan-06,17,71.48,1124624
10-Jan-06,18,68.56,1178160
10-Jan-06,19,65.2,1266159
10-Jan-06,20,63.88,1288461
10-Jan-06,21,63.12,1234180
10-Jan-06,22,62.52,1152450
10-Jan-06,23,61.96,1037114
10-Jan-06,24,60.68,949083
11-Jan-06,1,60.4,793539
11-Jan-06,2,60,747750
11-Jan-06,3,59.52,714054
11-Jan-06,4,58.4,740595
11-Jan-06,5,57.32,771753
11-Jan-06,6,57.36,863617
11-Jan-06,7,56.44,1053021
11-Jan-06,8,56.64,1156509
11-Jan-06,9,61.16,1163544
11-Jan-06,10,66.16,1093803
11-Jan-06,11,71.04,1086199
11-Jan-06,12,73.48,1092220
11-Jan-06,13,74.76,1101615
11-Jan-06,14,75.16,1138621
11-Jan-06,15,75.32,1151069
11-Jan-06,16,74.36,1144998
11-Jan-06,17,73.04,1159530
11-Jan-06,18,69.2,1182092
11-Jan-06,19,65.8,1279392
11-Jan-06,20,63.52,1285632
11-Jan-06,21,61.48,1241130
11-Jan-06,22,60.72,1163355
11-Jan-06,23,60.12,1051832
11-Jan-06,24,59.12,946046
12-Jan-06,1,57.8,819876
12-Jan-06,2,57.76,754251
12-Jan-06,3,57.08,757839
12-Jan-06,4,56.56,747336
12-Jan-06,5,56.28,792904
12-Jan-06,6,55.76,928272
12-Jan-06,7,55.56,1073640
12-Jan-06,8,55.84,1203839
12-Jan-06,9,60.36,1162197
12-Jan-06,10,65.04,1127277
12-Jan-06,11,69.8,1099910
12-Jan-06,12,72.4,1090482
12-Jan-06,13,74.12,1118103
12-Jan-06,14,75.08,1136542
12-Jan-06,15,75.32,1151069
12-Jan-06,16,74.96,1166190
12-Jan-06,17,73.6,1170544
12-Jan-06,18,69.24,1183339
12-Jan-06,19,65.52,1265901
12-Jan-06,20,63.56,1282099
12-Jan-06,21,62.36,1228920
12-Jan-06,22,60.8,1152988
12-Jan-06,23,60.24,1045045
12-Jan-06,24,59.48,944353
13-Jan-06,1,58.36,814129
13-Jan-06,2,57.64,763548
13-Jan-06,3,57.72,734819
13-Jan-06,4,57.44,729551
13-Jan-06,5,57.2,778756
13-Jan-06,6,57.12,857139
13-Jan-06,7,57,1056388
13-Jan-06,8,57.96,1146494
13-Jan-06,9,61.72,1110690
13-Jan-06,10,65.64,1111385
13-Jan-06,11,69.92,1098599
13-Jan-06,12,72.72,1080858
13-Jan-06,13,73.56,1117642
13-Jan-06,14,74.12,1127041
13-Jan-06,15,73.92,1108984
13-Jan-06,16,72.88,1090182
13-Jan-06,17,71.76,1138169
13-Jan-06,18,70.52,1221171
13-Jan-06,19,68.76,1338744
13-Jan-06,20,68.08,1342946
13-Jan-06,21,67,1272474
13-Jan-06,22,66,1198929
13-Jan-06,23,64.6,1045464
13-Jan-06,24,62.64,893580
14-Jan-06,1,59.52,799730
14-Jan-06,2,57.32,771686
14-Jan-06,3,55.04,851835
14-Jan-06,4,52.76,916419
14-Jan-06,5,51.56,978978
14-Jan-06,6,50.4,1166648
14-Jan-06,7,49.36,1399746
14-Jan-06,8,49.32,1522847
14-Jan-06,9,50.44,1662480
14-Jan-06,10,51.72,1708298
14-Jan-06,11,54.08,1581281
14-Jan-06,12,55.6,1442782
14-Jan-06,13,57.28,1340959
14-Jan-06,14,58.52,1229517
14-Jan-06,15,59.12,1177960
14-Jan-06,16,59.04,1176810
14-Jan-06,17,57.84,1221326
14-Jan-06,18,55.56,1398497
14-Jan-06,19,52.76,1517485
14-Jan-06,20,51.64,1591156
14-Jan-06,21,50.72,1583728
14-Jan-06,22,49.84,1526687
14-Jan-06,23,48.56,1429856
14-Jan-06,24,47.56,1424699
15-Jan-06,1,45.28,1344391
15-Jan-06,2,43.64,1386643
15-Jan-06,3,42.2,1481225
15-Jan-06,4,40.56,1589786
15-Jan-06,5,39.56,1738491
15-Jan-06,6,38.32,1967176
15-Jan-06,7,37.48,2251764
15-Jan-06,8,37.6,2322904
15-Jan-06,9,41.12,2162579
15-Jan-06,10,45,1993449
15-Jan-06,11,49.84,1703568
15-Jan-06,12,54.08,1479760
15-Jan-06,13,57.48,1341555
15-Jan-06,14,59.68,1203933
15-Jan-06,15,60.96,1176586
15-Jan-06,16,61.24,1157830
15-Jan-06,17,59.92,1216644
15-Jan-06,18,56.04,1392994
15-Jan-06,19,51.92,1568747
15-Jan-06,20,50.44,1651871
15-Jan-06,21,49.68,1623009
15-Jan-06,22,48.84,1530330
15-Jan-06,23,48.08,1479517
15-Jan-06,24,47.52,1424699
16-Jan-06,1,46.68,1248315
16-Jan-06,2,46.2,1234763
16-Jan-06,3,46.08,1218882
16-Jan-06,4,46.04,1245352
16-Jan-06,5,46.28,1281729
16-Jan-06,6,45.96,1399781
16-Jan-06,7,45.48,1619533
16-Jan-06,8,45,1819195
16-Jan-06,9,51,1686161
16-Jan-06,10,56.8,1419047
16-Jan-06,11,62.12,1242777
16-Jan-06,12,64.56,1172547
16-Jan-06,13,66.88,1099272
16-Jan-06,14,68.28,1076928
16-Jan-06,15,68.92,1049145
16-Jan-06,16,68.52,1033723
16-Jan-06,17,66.88,1068205
16-Jan-06,18,62.68,1214728
16-Jan-06,19,58.48,1333448
16-Jan-06,20,55.72,1405222
16-Jan-06,21,54.24,1390923
16-Jan-06,22,52.88,1330258
16-Jan-06,23,52.04,1275514
16-Jan-06,24,50.84,1230551
17-Jan-06,1,51.48,994538
17-Jan-06,2,51.08,964014
17-Jan-06,3,51,970840
17-Jan-06,4,51.4,946616
17-Jan-06,5,51.48,967323
17-Jan-06,6,51.76,1076391
17-Jan-06,7,52.56,1232473
17-Jan-06,8,54.8,1273795
17-Jan-06,9,59.44,1205168
17-Jan-06,10,63.84,1153043
17-Jan-06,11,68.72,1120606
17-Jan-06,12,71.48,1111120
17-Jan-06,13,73.2,1120548
17-Jan-06,14,74.04,1108704
17-Jan-06,15,74.16,1123648
17-Jan-06,16,74.48,1144998
17-Jan-06,17,73.32,1162277
17-Jan-06,18,71.12,1245732
17-Jan-06,19,69.16,1349687
17-Jan-06,20,67.44,1337149
17-Jan-06,21,66.48,1280992
17-Jan-06,22,66.16,1192428
17-Jan-06,23,64.4,1042881
17-Jan-06,24,62.4,896924
18-Jan-06,1,60.28,790659
18-Jan-06,2,58.76,724010
18-Jan-06,3,57.16,751882
18-Jan-06,4,56.52,749160
18-Jan-06,5,54.44,898164
18-Jan-06,6,52.96,1038552
18-Jan-06,7,51.08,1276537
18-Jan-06,8,49.84,1548502
18-Jan-06,9,50.8,1657631
18-Jan-06,10,52.4,1650899
18-Jan-06,11,53.88,1596775
18-Jan-06,12,55.56,1437756
18-Jan-06,13,56.8,1337268
18-Jan-06,14,57.6,1246114
18-Jan-06,15,58.32,1191807
18-Jan-06,16,58.36,1194836
18-Jan-06,17,57.04,1273726
18-Jan-06,18,53.08,1440902
18-Jan-06,19,47.96,1753547
18-Jan-06,20,46.08,1858984
18-Jan-06,21,43.84,1887902
18-Jan-06,22,43.2,1853335
18-Jan-06,23,42.16,1828226
18-Jan-06,24,41.76,1789620
19-Jan-06,1,38.12,1790624
19-Jan-06,2,38.52,1775260
19-Jan-06,3,38.04,1813473
19-Jan-06,4,37.68,1860285
19-Jan-06,5,38.2,1893852
19-Jan-06,6,38.08,2025107
19-Jan-06,7,38.2,2128865
19-Jan-06,8,39.4,2113180
19-Jan-06,9,46.92,1883160
19-Jan-06,10,53.8,1602459
19-Jan-06,11,58.96,1383268
19-Jan-06,12,62.48,1227733
19-Jan-06,13,64.4,1160312
19-Jan-06,14,65.8,1092352
19-Jan-06,15,66.44,1048904
19-Jan-06,16,66.56,1057975
19-Jan-06,17,65.28,1088216
19-Jan-06,18,62.24,1201563
19-Jan-06,19,58.24,1331881
19-Jan-06,20,55.72,1405222
19-Jan-06,21,54.24,1390923
19-Jan-06,22,53.92,1298000
19-Jan-06,23,53.12,1194470
19-Jan-06,24,51.32,1201182
20-Jan-06,1,51.12,985726
20-Jan-06,2,51.08,964014
20-Jan-06,3,50.8,966315
20-Jan-06,4,50.72,952525
20-Jan-06,5,50.76,990345
20-Jan-06,6,51.04,1084793
20-Jan-06,7,51.12,1285109
20-Jan-06,8,52.64,1374763
20-Jan-06,9,57.92,1304232
20-Jan-06,10,62.88,1159702
20-Jan-06,11,68.12,1119898
20-Jan-06,12,71.56,1105911
20-Jan-06,13,72.84,1097292
20-Jan-06,14,73.48,1118190
20-Jan-06,15,73.68,1101163
20-Jan-06,16,73.24,1127615
20-Jan-06,17,71.92,1137234
20-Jan-06,18,70.08,1216079
20-Jan-06,19,68.2,1319605
20-Jan-06,20,67.04,1339255
20-Jan-06,21,66.52,1280992
20-Jan-06,22,65.72,1198204
20-Jan-06,23,64.88,1045704
20-Jan-06,24,63.8,894855
21-Jan-06,1,64.12,769795
21-Jan-06,2,63.96,717686
21-Jan-06,3,64.08,685417
21-Jan-06,4,63.84,698648
21-Jan-06,5,64.24,719043
21-Jan-06,6,63.8,778549
21-Jan-06,7,63.08,945800
21-Jan-06,8,62.76,1043309
21-Jan-06,9,66.12,1031543
21-Jan-06,10,69.32,1057126
21-Jan-06,11,72.72,1098499
21-Jan-06,12,74.56,1127210
21-Jan-06,13,76.16,1184926
21-Jan-06,14,77.08,1196255
21-Jan-06,15,77.36,1217328
21-Jan-06,16,76.92,1231320
21-Jan-06,17,75.96,1265103
21-Jan-06,18,72.4,1264020
21-Jan-06,19,69.12,1349687
21-Jan-06,20,67.84,1345056
21-Jan-06,21,66.6,1278425
21-Jan-06,22,65.88,1196429
21-Jan-06,23,65.4,1041359
21-Jan-06,24,64.8,885770
22-Jan-06,1,63.92,772988
22-Jan-06,2,63.96,717686
22-Jan-06,3,63.6,691978
22-Jan-06,4,64,697065
22-Jan-06,5,64.24,719043
22-Jan-06,6,64.28,793418
22-Jan-06,7,64.44,915927
22-Jan-06,8,64.6,1006662
22-Jan-06,9,66.6,1040066
22-Jan-06,10,70.04,1060928
22-Jan-06,11,73,1109832
22-Jan-06,12,75.24,1149289
22-Jan-06,13,76.6,1180677
22-Jan-06,14,77.44,1201347
22-Jan-06,15,77.72,1242168
22-Jan-06,16,77.48,1288899
22-Jan-06,17,76.16,1267010
22-Jan-06,18,73.72,1312033
22-Jan-06,19,71,1345821
22-Jan-06,20,69.32,1372114
22-Jan-06,21,68.68,1343545
22-Jan-06,22,68.2,1236350
22-Jan-06,23,67.76,1075963
22-Jan-06,24,67.28,946819
23-Jan-06,1,67.16,812918
23-Jan-06,2,66.84,783473
23-Jan-06,3,66.56,729693
23-Jan-06,4,66.4,725745
23-Jan-06,5,66.2,729708
23-Jan-06,6,66.16,814711
23-Jan-06,7,65.88,953120
23-Jan-06,8,66.56,980379
23-Jan-06,9,68.76,1030534
23-Jan-06,10,71.2,1066084
23-Jan-06,11,73.8,1112088
23-Jan-06,12,75.72,1155926
23-Jan-06,13,77.24,1216144
23-Jan-06,14,77.72,1214425
23-Jan-06,15,77.72,1242168
23-Jan-06,16,77.44,1296611
23-Jan-06,17,76.24,1274235
23-Jan-06,18,73.68,1313072
23-Jan-06,19,71.44,1347810
23-Jan-06,20,70.16,1391229
23-Jan-06,21,69.68,1365587
23-Jan-06,22,69.2,1265991
23-Jan-06,23,68.56,1127906
23-Jan-06,24,68.4,960390
24-Jan-06,1,67.56,820118
24-Jan-06,2,66.76,777906
24-Jan-06,3,66.32,727178
24-Jan-06,4,66.4,725745
24-Jan-06,5,65.92,727965
24-Jan-06,6,65.6,812599
24-Jan-06,7,65.4,918850
24-Jan-06,8,66.08,976885
24-Jan-06,9,67.52,1036762
24-Jan-06,10,69.76,1058010
24-Jan-06,11,72.28,1100406
24-Jan-06,12,73.96,1108095
24-Jan-06,13,74.2,1119416
24-Jan-06,14,75.08,1136542
24-Jan-06,15,75.48,1140711
24-Jan-06,16,74.72,1159619
24-Jan-06,17,73.08,1159425
24-Jan-06,18,70.76,1235420
24-Jan-06,19,67.2,1294016
24-Jan-06,20,65.48,1318801
24-Jan-06,21,64,1273715
24-Jan-06,22,63.04,1164103
24-Jan-06,23,62.2,1027304
24-Jan-06,24,61.16,943046
25-Jan-06,1,59.08,801088
25-Jan-06,2,57.6,763548
25-Jan-06,3,56.16,806287
25-Jan-06,4,54.64,855352
25-Jan-06,5,53.2,927967
25-Jan-06,6,51.48,1058016
25-Jan-06,7,50.04,1367531
25-Jan-06,8,49.72,1516281
25-Jan-06,9,54.2,1480539
25-Jan-06,10,58.56,1375535
25-Jan-06,11,62.56,1239438
25-Jan-06,12,65.36,1178393
25-Jan-06,13,66.8,1100802
25-Jan-06,14,68.4,1073248
25-Jan-06,15,68.8,1037824
25-Jan-06,16,68.64,1037587
25-Jan-06,17,66.88,1068205
25-Jan-06,18,62.92,1194498
25-Jan-06,19,57.4,1388081
25-Jan-06,20,55.32,1425065
25-Jan-06,21,54.12,1367649
25-Jan-06,22,52.88,1330258
25-Jan-06,23,51.44,1307395
25-Jan-06,24,50.64,1223339
26-Jan-06,1,49.12,1122498
26-Jan-06,2,47.32,1165483
26-Jan-06,3,45.92,1228474
26-Jan-06,4,44.88,1298194
26-Jan-06,5,43.28,1461502
26-Jan-06,6,42.12,1666178
26-Jan-06,7,40.64,1904905
26-Jan-06,8,41,2021117
26-Jan-06,9,46.36,1896412
26-Jan-06,10,52.16,1671388
26-Jan-06,11,57.24,1442016
26-Jan-06,12,60.24,1304824
26-Jan-06,13,62.32,1197031
26-Jan-06,14,63.8,1108145
26-Jan-06,15,64.44,1064126
26-Jan-06,16,64.36,1069404
26-Jan-06,17,63.16,1118016
26-Jan-06,18,59.64,1260031
26-Jan-06,19,55.12,1455907
26-Jan-06,20,53.04,1512432
26-Jan-06,21,51.64,1566791
26-Jan-06,22,50.68,1504339
26-Jan-06,23,50.24,1323203
26-Jan-06,24,50.16,1261340
27-Jan-06,1,49.96,1017424
27-Jan-06,2,49.48,1025684
27-Jan-06,3,49.08,1052383
27-Jan-06,4,48.56,1072439
27-Jan-06,5,48.12,1126984
27-Jan-06,6,47.8,1260743
27-Jan-06,7,48.36,1404157
27-Jan-06,8,49,1569198
27-Jan-06,9,52.6,1575399
27-Jan-06,10,57.72,1434362
27-Jan-06,11,61.68,1265488
27-Jan-06,12,63.88,1194830
27-Jan-06,13,65.08,1131201
27-Jan-06,14,66.28,1106134
27-Jan-06,15,66.16,1060966
27-Jan-06,16,65.92,1042845
27-Jan-06,17,64.76,1097492
27-Jan-06,18,62.12,1216819
27-Jan-06,19,58.2,1332790
27-Jan-06,20,56.88,1391689
27-Jan-06,21,55.68,1349073
27-Jan-06,22,54.92,1310635
27-Jan-06,23,54.52,1197759
27-Jan-06,24,53.04,1088465
28-Jan-06,1,51.92,1004133
28-Jan-06,2,51.16,970106
28-Jan-06,3,51.48,949787
28-Jan-06,4,50.64,950737
28-Jan-06,5,50.36,1005574
28-Jan-06,6,50.28,1154500
28-Jan-06,7,49.76,1389201
28-Jan-06,8,50.84,1498013
28-Jan-06,9,56.6,1340044
28-Jan-06,10,62.44,1175101
28-Jan-06,11,66.88,1114462
28-Jan-06,12,69.4,1107092
28-Jan-06,13,70.28,1069562
28-Jan-06,14,70.92,1031233
28-Jan-06,15,70.92,1058997
28-Jan-06,16,70.2,1032531
28-Jan-06,17,69.2,1046169
28-Jan-06,18,66.64,1161110
28-Jan-06,19,64.08,1267231
28-Jan-06,20,62.12,1303196
28-Jan-06,21,60.44,1270928
28-Jan-06,22,59.64,1195833
28-Jan-06,23,58.84,1044344
28-Jan-06,24,57.72,970181
29-Jan-06,1,57.56,841010
29-Jan-06,2,57.16,772865
29-Jan-06,3,57.36,755214
29-Jan-06,4,58.24,742944
29-Jan-06,5,58.92,761459
29-Jan-06,6,59.48,840510
29-Jan-06,7,59.6,1004988
29-Jan-06,8,59.88,1058809
29-Jan-06,9,62.32,1077154
29-Jan-06,10,65.56,1126394
29-Jan-06,11,69.24,1107066
29-Jan-06,12,71.36,1105407
29-Jan-06,13,72.92,1101375
29-Jan-06,14,72.84,1086128
29-Jan-06,15,72.72,1086968
29-Jan-06,16,71.88,1064865
29-Jan-06,17,70.84,1104230
29-Jan-06,18,69.64,1179277
29-Jan-06,19,68.4,1338765
29-Jan-06,20,67.48,1339989
29-Jan-06,21,66.96,1272474
29-Jan-06,22,66.48,1195914
29-Jan-06,23,66,1067224
29-Jan-06,24,65.64,904472
30-Jan-06,1,65.24,774074
30-Jan-06,2,65,730396
30-Jan-06,3,64.56,701390
30-Jan-06,4,64.24,695621
30-Jan-06,5,63.96,711653
30-Jan-06,6,63.92,800531
30-Jan-06,7,63.72,951515
30-Jan-06,8,64.04,1024969
30-Jan-06,9,64.64,1075561
30-Jan-06,10,65.64,1111385
30-Jan-06,11,66.64,1117980
30-Jan-06,12,68.28,1102077
30-Jan-06,13,69.92,1076308
30-Jan-06,14,70.8,1033110
30-Jan-06,15,70.96,1058997
30-Jan-06,16,70.52,1049681
30-Jan-06,17,69.04,1056265
30-Jan-06,18,67.36,1158431
30-Jan-06,19,65.44,1269134
30-Jan-06,20,64.44,1306818
30-Jan-06,21,63.8,1241808
30-Jan-06,22,63.16,1157692
30-Jan-06,23,63.08,1038294
30-Jan-06,24,62.56,895396
31-Jan-06,1,61.4,792829
31-Jan-06,2,60.64,752048
31-Jan-06,3,59.84,728332
31-Jan-06,4,57.12,738711
31-Jan-06,5,55.32,859574
31-Jan-06,6,53.6,1020710
31-Jan-06,7,51.28,1236706
31-Jan-06,8,50.16,1533230
31-Jan-06,9,53.6,1529266
31-Jan-06,10,56.8,1419047
31-Jan-06,11,59.16,1366120
31-Jan-06,12,61.4,1273258
31-Jan-06,13,62.92,1175232
31-Jan-06,14,64.64,1090840
31-Jan-06,15,65.36,1064043
31-Jan-06,16,65.4,1064584
31-Jan-06,17,64.48,1107000
31-Jan-06,18,60.72,1208063
31-Jan-06,19,54.28,1465585
31-Jan-06,20,51.36,1592198
31-Jan-06,21,49.16,1652196
31-Jan-06,22,47.96,1603090
31-Jan-06,23,46.68,1557426
31-Jan-06,24,45.32,1541753
1-Feb-06,1,42.56,1495100
1-Feb-06,2,41.84,1552792
1-Feb-06,3,41.2,1536038
1-Feb-06,4,40.44,1609501
1-Feb-06,5,40.04,1683799
1-Feb-06,6,39.44,1865537
1-Feb-06,7,38.36,2104645
1-Feb-06,8,39.84,2077518
1-Feb-06,9,48.84,1705418
1-Feb-06,10,56.68,1442796
1-Feb-06,11,61.56,1263313
1-Feb-06,12,64.2,1188582
1-Feb-06,13,66.24,1109132
1-Feb-06,14,67.4,1076699
1-Feb-06,15,68.48,1058727
1-Feb-06,16,68.48,1036193
1-Feb-06,17,67.56,1062962
1-Feb-06,18,63.08,1197816
1-Feb-06,19,57.84,1346519
1-Feb-06,20,54.96,1433933
1-Feb-06,21,53.12,1442116
1-Feb-06,22,52.56,1373553
1-Feb-06,23,51.56,1305797
1-Feb-06,24,50.44,1236801
2-Feb-06,1,49.68,1068756
2-Feb-06,2,50.68,965125
2-Feb-06,3,51.6,935052
2-Feb-06,4,52.32,903352
2-Feb-06,5,52.92,925859
2-Feb-06,6,54.28,999224
2-Feb-06,7,55.72,1075030
2-Feb-06,8,57.12,1145188
2-Feb-06,9,60.4,1167341
2-Feb-06,10,65.2,1125475
2-Feb-06,11,68.72,1120606
2-Feb-06,12,70.88,1108573
2-Feb-06,13,72.4,1100481
2-Feb-06,14,73.04,1092622
2-Feb-06,15,73.68,1101163
2-Feb-06,16,73.56,1144190
2-Feb-06,17,73.08,1159425
2-Feb-06,18,71.8,1273853
