Hour,Temperature,Load
10,59.4,1305861
11,63.96,1187211
12,67,1094158
13,68.56,1035337
14,69.92,987321
15,70.08,962229
16,69.32,959446
17,67.08,992306
18,64.92,1057273
19,63.12,1170120
20,62.2,1148402
21,61.2,1103083
22,60.56,1039785
23,59.92,957059
24,59.76,866163
01,58.68,778298
02,58.12,732621
03,56.24,728376
04,53.4,761314
05,50.96,822993
06,48.84,919317
07,47.12,1074777
08,46.72,1300952
09,49.4,1479629
10,52.08,1445529
11,55.52,1327375
12,58.56,1203620
13,60.72,1119967
14,62.6,1051131
15,64,995557
16,63.96,977045
17,62.84,1016163
18,58.6,1140482
19,53.56,1343934
20,53.2,1407109
21,52.2,1416455
22,50.76,1369890
23,50.8,1265295
24,50.36,1152141
01,49.92,1077833
02,50.08,1048355
03,50.72,1038939
04,51.56,1045528
05,52.2,1088484
06,52.88,1226920
07,53.2,1439505
08,53.72,1461928
09,55.24,1398420
10,56.6,1364271
11,58.68,1339854
12,59.88,1309059
13,60.72,1266674
14,61.36,1218944
15,62.28,1178613
16,62.44,1163059
17,62.4,1207708
18,61.84,1331742
19,61.32,1433644
20,61.2,1398951
21,61.36,1307107
22,61,1191178
23,60.36,1051008
24,59.4,920290
01,58.76,832287
02,58.08,800842
03,57.6,794056
04,57.12,804508
05,56.84,848281
06,56.32,985965
07,56.04,1210402
08,55.56,1266755
09,55.96,1221801
10,56.68,1188148
11,57.88,1139761
12,59.16,1069803
13,61.4,1007171
14,63.12,946201
15,64.16,903227
16,64.96,898921
17,63.92,940065
18,59.92,1066053
19,55.44,1291288
20,52.92,1362834
21,51,1372943
22,49.04,1348140
23,47.96,1264224
24,47.56,1181630
01,45.4,1139636
02,44.48,1161594
03,43.76,1211440
04,43,1279885
05,43.04,1387560
06,42.72,1620009
07,41.76,1941972
08,42.04,2022141
09,47.8,1856109
10,53.28,1579222
11,58.56,1339850
12,62.08,1163226
13,64.72,1045616
14,66.44,965621
15,67.24,920716
16,67.72,915905
17,66.44,963614
18,61.44,1089603
19,55.88,1317413
20,53.4,1387718
21,51.48,1408569
22,50.12,1394373
23,48.8,1310215
24,48.44,1207816
01,47.2,1157032
02,47,1165010
03,46.48,1191872
04,46.8,1219253
05,46.72,1272070
06,46.84,1429416
07,46.72,1664287
08,47.16,1673358
09,52.12,1543912
10,57.28,1396091
11,62.32,1260795
12,65.16,1138936
13,67.24,1042981
14,68.88,962259
15,70.32,914012
16,70.04,909260
17,68.84,955375
18,65.76,1076532
19,62,1272619
20,59.28,1319115
21,57.8,1297496
22,56.24,1235486
23,55.36,1132252
24,54.8,1016009
01,53.88,935651
02,53.36,914476
03,52.92,925194
04,52.48,946968
05,52.04,1008075
06,51.28,1182357
07,50.2,1457934
08,49.28,1533563
09,53.64,1425688
10,58.68,1253286
11,64.16,1111177
12,67.68,1008873
13,69.76,947300
14,72.2,907519
15,72.88,887564
16,72.44,890738
17,71.36,914941
18,67.8,971341
19,62.88,1104106
20,60.6,1115896
21,58.44,1076323
22,56.88,1030612
23,55.6,967840
24,55.12,888521
01,54.24,821502
02,53,801357
03,52.64,807927
04,52.04,830015
05,51.64,872487
06,51.12,960277
07,50.96,1081924
08,51.96,1236745
09,57.4,1303823
10,62.88,1216896
11,69.24,1102655
12,73.08,1021131
13,75.24,976952
14,77.08,949572
15,77.32,942445
16,77.16,951184
17,76.04,969064
18,73.24,1002625
19,70.36,1105749
20,68.84,1097992
21,68.32,1030608
22,66.72,957411
23,65.6,875731
24,64.84,780039
01,63.52,689188
02,62.48,630602
03,61.68,605072
04,60.8,597015
05,59.2,607643
06,58.88,640267
07,58.52,710241
08,58.36,821282
09,59.04,970171
10,60.52,1050116
11,63.44,1048437
12,65.92,1021913
13,68.4,1013959
14,70.68,997106
15,71.84,985562
16,71.96,984092
17,71.24,1008406
18,68.8,1052504
19,66.16,1160505
20,64.92,1148018
21,64.08,1076734
22,63.4,985805
23,62.92,875512
24,63.2,766893
01,62.56,671685
02,62.36,625495
03,62.2,607791
04,62.2,603890
05,62.48,627527
06,62.88,700254
07,63.6,802683
08,64.28,886472
09,65.76,955990
10,67.24,1023997
11,69.92,1056098
12,72.32,1063283
13,74.04,1055976
14,75.44,1045362
15,76.24,1044770
16,76.24,1051432
17,75.2,1082162
18,72.76,1151729
19,70.32,1273992
20,68.92,1267585
21,67.8,1179112
22,67.16,1073955
23,65.88,936436
24,65.16,800473
01,63.76,693049
02,63.2,649226
03,62.88,630062
04,62.92,627931
05,62.6,656070
06,61.96,766944
07,61.92,963857
08,62.4,1009685
09,63.32,977505
10,64.64,970813
11,67.36,967950
12,69.72,963550
13,70.76,957317
14,71.64,957327
15,72.16,954609
16,72.44,971096
17,71.52,1013781
18,70.04,1107548
19,68.32,1245605
20,67.64,1253752
21,67.24,1179464
22,66.92,1070532
23,66.24,934971
24,65.72,798787
01,65.48,695404
02,65,651248
03,65.36,635257
04,64.92,631757
05,64.88,657751
06,65.04,765695
07,65.44,957938
08,65.64,995774
09,67.96,951113
10,71.52,952395
11,74.32,974223
12,76.64,998993
13,78.48,1025372
14,78.84,1051169
15,78.8,1078078
16,78.64,1115396
17,77.36,1157794
18,74.84,1198090
19,71.4,1297211
20,69.36,1292556
21,68.72,1205048
22,66.8,1093792
23,65.72,939406
24,65.4,792078
01,64.96,680974
02,64.76,629715
03,64.2,603404
04,63.88,598648
05,63.8,623602
06,63.6,732516
07,63.32,934543
08,63.44,972056
09,66.8,930245
10,70.36,927902
11,75.08,948246
12,77.6,976104
13,78.76,1010519
14,79.16,1035336
15,79.48,1063524
16,78.88,1092642
17,78.12,1130735
18,75.2,1164874
19,72.16,1268607
20,70.56,1278494
21,69.04,1194192
22,67.52,1075585
23,67,934011
24,66.56,785734
01,66.32,678743
02,65.48,632592
03,64.96,608115
04,64.76,602997
05,63.84,625636
06,63.76,724773
07,63.96,916194
08,64.48,965818
09,67.44,938001
10,70.28,936414
11,73.24,960966
12,74.68,987601
13,75.36,1015747
14,75.24,1020774
15,74.48,1019386
16,73.96,1021545
17,72.36,1041242
18,70.24,1091228
19,68.16,1171086
20,67.28,1147790
21,66.24,1079353
22,65.32,1005193
23,64.56,912254
24,65.04,807260
01,63.8,706152
02,63.48,649530
03,62.64,620498
04,62.52,607074
05,61.84,612919
06,61.84,646093
07,61.24,719149
08,61.52,821307
09,62.44,943706
10,64.08,1026691
11,66.32,1066855
12,67.56,1066882
13,68.6,1055811
14,69.72,1040382
15,70.64,1029277
16,69.6,1030036
17,68.72,1047808
18,66.8,1087030
19,65,1167511
20,64.16,1148090
21,63.48,1077381
22,62.96,1005235
23,62.32,920595
24,62.32,822873
01,61.68,725228
02,61.32,671188
03,60.88,643276
04,60.64,630412
05,60.36,634179
06,60.24,659531
07,60.12,720697
08,60.44,820394
09,60.76,954676
10,62.84,1032044
11,65.12,1039004
12,67.2,1026668
13,68.84,1028647
14,69.8,1015933
15,70.56,997074
16,70.4,1001720
17,70.04,1027409
18,68.44,1086390
19,67.16,1191340
20,65.92,1189894
21,65.68,1139657
22,65.12,1027822
23,64.84,891853
24,64.76,769367
01,64.36,667619
02,64.16,621268
03,63.68,601258
04,63.76,598701
05,63.64,628147
06,63.56,735923
07,63.28,932545
08,63.4,981372
09,65.24,955716
10,68,960369
11,70.68,976793
12,72.92,995574
13,74.92,1031039
14,75.96,1063664
15,76.44,1087844
16,75.76,1111114
17,74.52,1137099
18,72.04,1179778
19,69.32,1291063
20,68.28,1298471
21,67.64,1207375
22,66.64,1092252
23,65.44,943335
24,65.04,804073
01,63.68,693022
02,63.04,639438
03,62.6,614240
04,62.52,605846
05,62.28,629289
06,62.2,743041
07,62.28,933464
08,62.6,974592
09,64.76,940341
10,67.24,944741
11,69.8,970366
12,73.48,1003505
13,76.24,1053522
14,77.64,1093665
15,77.84,1125830
16,77.92,1155981
17,76.64,1181837
18,73.48,1207827
19,70.56,1304182
20,69.16,1315038
21,68.36,1230881
22,67.4,1103128
23,66.36,963319
24,66.12,808131
01,65.48,693008
02,65.08,639931
03,64.44,614749
04,63.88,610408
05,63.8,633152
06,63.72,734101
07,63.64,933465
08,64.24,971350
09,66.24,935816
10,69.92,943218
11,73.68,977666
12,77.32,1024516
13,78.88,1080935
14,79.48,1118219
15,79.48,1154924
16,79.76,1192282
17,78.48,1222982
18,75.84,1258097
19,72.64,1341971
20,71.12,1350187
21,69.96,1265438
22,69,1148632
23,68.4,994912
24,67.88,834266
01,67.08,722495
02,66.48,658860
03,65.72,627595
04,65.64,615922
05,65.36,634484
06,65.52,732168
07,65.08,925929
08,65.76,969080
09,68.64,942675
10,72.28,964873
11,75.52,1006808
12,77.96,1060064
13,79.52,1113671
14,80.8,1167676
15,80.84,1210486
16,80.52,1243861
17,79.44,1268692
18,76.88,1278441
19,72.24,1348782
20,71.36,1358459
21,70.12,1267026
22,68.68,1133922
23,67.52,977736
24,66.28,827680
01,65.16,705461
02,64.28,640485
03,63.76,609914
04,62.44,600622
05,62.4,619358
06,61.4,719234
07,60.96,912668
08,61.92,953746
09,65.8,924447
10,70.84,937321
11,74.6,975856
12,77.96,1033706
13,79.08,1103465
14,79.56,1164438
15,80.12,1199980
16,79.6,1224323
17,78.36,1234817
18,75.6,1221265
19,72.4,1254751
20,70.64,1236737
21,69.36,1144360
22,67.56,1054289
23,66.64,944022
24,65.96,827092
01,64.68,718432
02,64.28,655392
03,63.84,620920
04,63.28,606573
05,63,611615
06,62.84,643544
07,62.76,709126
08,62.48,812756
09,63.04,934798
10,65.04,1012325
11,66.68,1031531
12,68.12,1026279
13,70.52,1022024
14,72.04,1025800
15,72.52,1032168
16,72,1044049
17,71.16,1046885
18,68.32,1053639
19,64.68,1125446
20,62.44,1137370
21,60.96,1070948
22,59.72,1001625
23,58.6,921200
24,58.24,830760
01,56.8,746403
02,56.16,705116
03,55.56,690047
04,54.76,690959
05,54.32,707333
06,53.68,748832
07,53.36,828406
08,53.72,959395
09,56.2,1104025
10,60.48,1140066
11,63.6,1102608
12,66.88,1058737
13,69.2,1034362
14,70.36,1015932
15,71,1003929
16,70.6,1000765
17,69.08,1017957
18,65.84,1041522
19,62.88,1135335
20,60.72,1143746
21,59.44,1102431
22,58.2,1017820
23,57.24,931409
24,56.6,812966
01,56.04,712226
02,55.6,674459
03,54.76,666510
04,53.92,678912
05,53.28,729117
06,52.64,872301
07,51.84,1124793
08,51.84,1209444
09,53.2,1168252
10,55.52,1134610
11,57.72,1092863
12,59.44,1056403
13,61.08,1022257
14,62.88,976491
15,63.28,939745
16,63.92,931803
17,62.76,972382
18,59.96,1102187
19,55.92,1330756
20,53.24,1445007
21,51.4,1448829
22,49.76,1415087
23,49.28,1315401
24,49.44,1201171
01,48.48,1135339
02,47.32,1123694
03,46.44,1134707
04,45.16,1173133
05,44.28,1264872
06,44.04,1468130
07,43.12,1747989
08,44.28,1727673
09,48.12,1684551
10,51.68,1578323
11,55.08,1435051
12,57.28,1286236
13,58.04,1195913
14,58.92,1111529
15,59.28,1066946
16,58.68,1086103
17,57.96,1158699
18,56.56,1310125
19,54.96,1502496
20,54.04,1555832
21,52.68,1523739
22,52.12,1442497
23,51.48,1312897
24,50.92,1179743
01,50.08,1096690
02,50,1068391
03,49.88,1061096
04,50.84,1071479
05,51.64,1114945
06,52.04,1261120
07,52,1491455
08,53.32,1499912
09,57.96,1342372
10,62.24,1192207
11,64.96,1087808
12,67.68,1019458
13,69.56,981564
14,70.92,954819
15,71.4,947687
16,70.96,956433
17,70.36,994671
18,68.92,1075742
19,67.56,1202622
20,66.88,1222597
21,66.6,1160637
22,65.76,1064240
23,65.16,922388
24,64.92,787418
01,64.84,684969
02,64.08,636620
03,63.72,618414
04,63.68,619412
05,63.16,650469
06,63.2,758893
07,63.12,954908
08,63.52,1000956
09,64.84,974121
10,66.12,983183
11,66.68,998059
12,66.08,1011241
13,65.24,1007315
14,64.8,992541
15,63.44,984379
16,62,992849
17,60.64,1042527
18,58.64,1138673
19,55.84,1311047
20,54.12,1398423
21,52.48,1394384
22,50.96,1341815
23,49.36,1257193
24,47.8,1156620
01,45.96,1098397
02,44.48,1104265
03,43.6,1135483
04,42.52,1187353
05,41.56,1285599
06,40.64,1502388
07,39.84,1811476
08,40.64,1827819
09,43.96,1751555
10,47.56,1581494
11,51.28,1391534
12,54.92,1227423
13,57.04,1107214
14,58.92,1014079
15,60.08,955269
16,61.04,932226
17,60.16,962522
18,58,1052599
19,54.24,1242424
20,53.2,1325065
21,52.04,1327700
22,51.24,1310314
23,51,1257100
24,50.52,1168128
01,49.48,1081093
02,48.68,1041746
03,48.4,1036465
04,48.28,1048549
05,48.44,1083617
06,48.36,1159643
07,47.64,1281369
08,49.44,1427080
09,54.52,1461856
10,61,1340293
11,65.52,1181263
12,68.16,1063271
13,69.84,991590
14,70.44,950400
15,71,925089
16,70.56,920673
17,69.92,937900
18,67.8,971208
19,65.32,1066657
20,63.8,1099088
21,63.16,1045051
22,62.12,979434
23,61.72,904610
24,60.96,811988
01,60.88,724587
02,61.12,680004
03,61.04,659115
04,60.76,654517
05,60.52,663702
06,60.84,694484
07,61.32,758860
08,61.8,862021
09,63.84,986234
10,66.92,1045233
11,69.6,1029321
12,70.96,1011128
13,71.84,1003429
14,72.44,992137
15,71.88,973490
16,71.12,961956
17,69.56,984051
18,67.64,1042063
19,65.56,1154414
20,63.76,1181872
21,62.92,1126674
22,61.28,1031326
23,60.12,900791
24,59.24,772840
01,58.68,682780
02,58,648371
03,57.2,640898
04,56.56,650910
05,55.96,696490
06,55.64,839350
07,54.88,1082639
08,55.04,1148303
09,56.92,1101481
10,59.92,1047617
11,63,1001596
12,64.96,961321
13,67.04,941192
14,68.76,917853
15,69.64,911449
16,69.04,920848
17,68.24,951762
18,65.76,1020059
19,60.96,1173149
20,57.88,1248706
21,56.04,1211684
22,53.84,1132727
23,52.76,1025786
24,52.64,919372
01,50.68,851392
02,49.68,842369
03,49.32,863219
04,48.72,899417
05,48.28,974405
06,47.56,1168530
07,47.16,1472926
08,48.36,1540046
09,53.44,1401142
10,58.4,1230739
11,62.84,1103556
12,65.44,1010814
13,67.12,958606
14,68.24,921690
15,68.32,900934
16,67.96,903217
17,66.84,947473
18,64.32,1047600
19,60.64,1220339
20,57.8,1299252
21,56.36,1284608
22,55.08,1219217
23,54.04,1103095
24,53.32,984855
01,51.76,909052
02,50.88,900695
03,49.68,920959
04,49.04,965579
05,49.12,1041604
06,49.16,1219927
07,49.96,1485628
08,50.88,1516775
09,52.12,1421941
10,54.44,1356407
11,56.2,1298474
12,58.32,1240388
13,59.6,1184993
14,60,1145650
15,60.28,1127222
16,60.04,1142662
17,59.08,1223598
18,58.28,1356593
19,56.64,1502166
20,55.72,1525892
21,55.08,1485471
22,54.68,1401243
23,54.28,1248349
24,53.52,1093931
01,52.6,987892
02,51.68,950175
03,51.44,942784
04,51.12,954345
05,51.4,1002651
06,50.88,1155592
07,50.36,1396275
08,49.92,1434988
09,52.2,1343972
10,55.48,1234006
11,58.96,1125325
12,62.08,1023009
13,64.12,950832
14,65.56,906581
15,66.72,882161
16,66.88,880135
17,65.92,914178
18,63.92,980602
19,59.92,1135605
20,57.2,1229936
21,56.24,1234259
22,55.48,1185319
23,54.28,1092248
24,54.2,982817
01,52.6,910275
02,51.44,888367
03,51.2,898408
04,50.32,927483
05,49.88,992616
06,49.92,1158367
07,49.84,1414546
08,51.28,1465738
09,56.08,1326810
10,62.08,1173196
11,67,1048187
12,69.12,973490
13,71.12,944025
14,72.16,924696
15,72.36,920833
16,72.44,927753
17,71.52,951232
18,68.84,987627
19,65.08,1087882
20,62.92,1119212
21,61.2,1071489
22,60.24,1007438
23,59.48,929259
24,58.08,831994
01,58.12,747913
02,57.44,708354
03,56.96,694243
04,56.88,696300
05,56.72,714594
06,56.56,766524
07,56.24,859524
08,56.56,988864
09,57.52,1106845
10,59.92,1165892
11,62.72,1159045
12,64.76,1117741
13,66.76,1070445
14,67.56,1020934
15,68.64,975149
16,69.24,942694
17,68.48,946775
18,66.72,973844
19,62.8,1075856
20,59.2,1137165
21,57.48,1108179
22,54.96,1074748
23,54.64,1022536
24,54.2,948082
01,53.12,870680
02,52.56,840573
03,52.08,838097
04,50.76,856841
05,49.72,900621
06,48.4,985600
07,46.96,1135788
08,47.48,1359954
09,52.36,1451177
10,57.6,1363330
11,61.32,1210434
12,64.04,1082419
13,66.32,1014788
14,68.08,965793
15,68.96,930587
16,69.16,914185
17,68.04,922360
18,65.04,987530
19,58.88,1120465
20,54.96,1226038
21,53.08,1232472
22,51.08,1204706
23,49,1135790
24,48.72,1067407
01,47.92,1025408
02,46.44,1039360
03,46,1076654
04,45.36,1122953
05,44.36,1211360
06,45.12,1383837
07,45.56,1593406
08,46.88,1691583
09,51,1665364
10,55.68,1565327
11,59.32,1366534
12,61.72,1210345
13,63.68,1098760
14,64.64,1015599
15,65.2,965783
16,65.12,948204
17,64.36,977601
18,62.24,1065524
19,57.92,1240546
20,55.28,1368779
21,53.12,1364279
22,51.32,1309174
23,50.6,1209081
24,49.96,1108331
01,49.16,1053068
02,48.2,1057469
03,47.6,1084525
04,48.08,1130531
05,47.84,1214250
06,47.4,1413858
07,47.28,1681378
08,48.8,1657861
09,55.48,1525783
10,61.56,1281050
11,65.92,1104130
12,68.56,1002436
13,70.2,948642
14,70.92,912466
15,71.24,898179
16,71.24,903682
17,70.6,941080
18,68.12,1004723
19,64.24,1134644
20,61.52,1223413
21,60.32,1178192
22,59.16,1089133
23,57.92,963074
24,57.68,836799
01,57.24,759938
02,56.8,735690
03,56.36,741312
04,56.68,765946
05,57.32,825032
06,57.96,981696
07,58.4,1234374
08,59.56,1273126
09,64.64,1143199
10,69.2,1027342
11,72.84,960857
12,73.76,937845
13,74.48,930427
14,75.16,921603
15,74.76,918991
16,73.72,929651
17,72.84,972089
18,71.44,1051703
19,69.52,1167559
20,68.6,1204077
21,68.32,1150743
22,67.44,1054362
23,67.04,918289
24,66.68,781676
01,66.68,681091
02,65.72,633366
03,65.4,615071
04,65.32,610626
05,64.84,635324
06,64.04,742349
07,62.96,947731
08,63.24,985975
09,66.44,954651
10,69.92,948332
11,72.16,958609
12,74.2,971167
13,75.32,989692
14,76.32,994444
15,76.32,1007775
16,75.92,1034629
17,74.84,1069560
18,72.72,1111916
19,69.72,1214746
20,68.12,1270881
21,66.36,1206327
22,65.52,1100068
23,65.04,959106
24,64.68,810722
01,63.32,717252
02,62.76,657701
03,62.4,633732
04,62.04,631392
05,61.48,657784
06,61.28,764981
07,61.12,971081
08,61.08,1021366
09,62.56,1000724
10,64.56,1001681
11,66.24,996792
12,67.32,983375
13,67.28,966128
14,67.88,944665
15,66.88,928367
16,66.72,927498
17,66.12,959327
18,64.8,1024759
19,63.48,1108127
20,62.68,1120943
21,62.36,1077924
22,61.72,1011334
23,61.4,923890
24,60.76,827597
01,60.16,740324
02,59.56,692633
03,59,672497
04,58.32,671780
05,57.48,690409
06,56.8,744501
07,56.32,846826
08,55.48,1000689
09,55.44,1159672
10,55.64,1282901
11,56.28,1331175
12,56.52,1323671
13,56.8,1298301
14,56.72,1264986
15,56.76,1240185
16,56.76,1250522
17,56.76,1294881
18,56.2,1359189
19,54.64,1421396
20,53.28,1434867
21,52.44,1396642
22,51.36,1338293
23,50.44,1265432
24,50,1171154
01,47.6,1088898
02,46.72,1064818
03,45.4,1078601
04,44.52,1124377
05,44,1192154
06,43.12,1292121
07,42.52,1450466
08,43.68,1656901
09,48.48,1683450
10,53,1541946
11,56.84,1344659
12,59.64,1179064
13,62.08,1076554
14,63.56,997595
15,64.64,945048
16,65.04,922843
17,64.44,938679
18,62.4,989020
19,57,1124504
20,54.16,1265276
21,52,1285808
22,50.6,1240073
23,48.88,1155495
24,48.08,1064797
01,46.76,1003114
02,45.16,1010511
03,44.68,1052133
04,43.84,1111192
05,43.96,1214826
06,43.68,1435781
07,43.32,1735537
08,46.6,1715714
09,53.16,1570125
10,59.76,1327399
11,64.6,1136187
12,67.2,1017736
13,69.16,956423
14,70.08,919965
15,70.56,906318
16,70.48,913486
17,69.76,951731
18,67.4,1013270
19,62.88,1133709
20,60,1235453
21,57.96,1190214
22,55.56,1114694
23,54.08,1000444
24,52.88,892340
01,51.48,833110
02,50.64,831824
03,50.04,858992
04,49.2,903041
05,48.84,979849
06,48.52,1177450
07,48.24,1484359
08,51,1535976
09,57.36,1346194
10,63.84,1151110
11,67.72,1021624
12,69.92,954444
13,71.92,928977
14,72.88,914114
15,72.92,908516
16,72.48,925236
17,71.52,960137
18,69.28,1016286
19,65.68,1128080
20,63.04,1226504
21,61.6,1177114
22,60.04,1087171
23,58.6,959008
24,57.96,833356
01,57.4,750919
02,56.56,720941
03,55.08,720175
04,53.84,749005
05,51.52,832681
06,49.24,1038085
07,46.76,1374809
08,45.6,1504636
09,46.08,1465513
10,47.36,1409453
11,49,1362882
12,49.96,1313140
13,51.44,1268834
14,51.96,1219542
15,52.32,1177845
16,52.4,1180629
17,51.24,1254870
18,49.08,1438508
19,45.24,1729539
20,42.84,1873026
21,40.88,1954260
22,39.2,1972889
23,38.08,1971426
24,37.68,1892466
01,35.48,1870574
02,34.28,1910227
03,33.04,1975609
04,32.24,2051925
05,31.52,2157605
06,30.92,2375543
07,30.24,2564447
08,32.64,2550695
09,38.04,2299278
10,42.12,2109536
11,45.4,1846088
12,48.08,1609810
13,50.68,1418429
14,52.96,1262221
15,54.16,1155888
16,54.56,1113576
17,54.08,1157082
18,52.88,1312187
19,49.48,1569245
20,46.04,1779458
21,43.96,1855227
22,42.24,1873436
23,41,1804296
24,40.56,1720449
01,39.8,1694353
02,40.4,1723678
03,40.36,1763667
04,41.04,1800387
05,41.52,1859955
06,42.72,1997255
07,43.48,2130167
08,47.36,2063271
09,52.2,1887867
10,57.28,1625108
11,60.68,1413812
12,63.44,1254240
13,64,1131033
14,64.52,1057695
15,64.84,1012189
16,64.76,1004143
17,64.12,1053418
18,64,1135368
19,63.36,1228099
20,62.56,1252419
21,62.04,1199861
22,62.72,1129614
23,62.68,1028631
24,63.52,911726
01,63.72,813219
02,63.68,756828
03,63.72,723576
04,63.64,714944
05,64.2,718822
06,64.64,748576
07,64.72,816335
08,65.52,916112
09,67.32,1013296
10,70,1065889
11,72.2,1072857
12,73.96,1055343
13,74.64,1031149
14,75.32,1006611
15,75.52,993648
16,74.56,1000049
17,73.96,1027091
18,73,1062532
19,71.88,1119983
