Date,Day of week,Month,Hour,Temperature,Aniket_Thopte
5-Jan-06,5,1,9,54.28,1407014.066
5-Jan-06,5,1,10,58.96,1302149.691
5-Jan-06,5,1,11,64.48,1209240.887
5-Jan-06,5,1,12,67.64,1151275.263
5-Jan-06,5,1,13,69.64,1076143.553
5-Jan-06,5,1,14,71.2,1036564.247
5-Jan-06,5,1,15,71.52,1024478.741
5-Jan-06,5,1,16,70.92,1042947.805
5-Jan-06,5,1,17,69.16,1094880.812
5-Jan-06,5,1,18,65.92,1179556.276
5-Jan-06,5,1,19,64,1262121.579
5-Jan-06,5,1,20,62.64,1302182.431
5-Jan-06,5,1,21,61.88,1269391.654
5-Jan-06,5,1,22,60.64,1164027.296
5-Jan-06,5,1,23,59.84,1044275.308
5-Jan-06,5,1,24,58.36,907612.6539
6-Jan-06,6,1,1,56.2,884461.7214
6-Jan-06,6,1,2,54.88,885660.5166
6-Jan-06,6,1,3,52.96,927760.4878
6-Jan-06,6,1,4,50.96,1006966.623
6-Jan-06,6,1,5,49.08,1126785.105
6-Jan-06,6,1,6,47.88,1286423.127
6-Jan-06,6,1,7,46.96,1523636.121
6-Jan-06,6,1,8,46.6,1712062.109
6-Jan-06,6,1,9,48.76,1710771.211
6-Jan-06,6,1,10,50.4,1707801.918
6-Jan-06,6,1,11,52.76,1612412.569
6-Jan-06,6,1,12,53.92,1521160.89
6-Jan-06,6,1,13,55.08,1408564.582
6-Jan-06,6,1,14,55.72,1322033.011
6-Jan-06,6,1,15,55.64,1289502.746
6-Jan-06,6,1,16,55,1315154.801
6-Jan-06,6,1,17,53.4,1410433.403
6-Jan-06,6,1,18,51.12,1557446.174
6-Jan-06,6,1,19,49.32,1691292.087
6-Jan-06,6,1,20,48.28,1717180.06
6-Jan-06,6,1,21,46.56,1762771.014
6-Jan-06,6,1,22,45.36,1750720.895
6-Jan-06,6,1,23,44.56,1670589.095
6-Jan-06,6,1,24,43.96,1543764.478
7-Jan-06,7,1,1,41.4,1574494.715
7-Jan-06,7,1,2,40,1641600.207
7-Jan-06,7,1,3,38.92,1712319.409
7-Jan-06,7,1,4,38.24,1780300.336
7-Jan-06,7,1,5,37.24,1894733.443
7-Jan-06,7,1,6,36.64,2022925.733
7-Jan-06,7,1,7,35.88,2238680.712
7-Jan-06,7,1,8,36.56,2379185.726
7-Jan-06,7,1,9,39.8,2277809.116
7-Jan-06,7,1,10,42.36,2168200.66
7-Jan-06,7,1,11,46,1970525.764
7-Jan-06,7,1,12,48.4,1802038.298
7-Jan-06,7,1,13,51.08,1592562.277
7-Jan-06,7,1,14,53.04,1428608.536
7-Jan-06,7,1,15,53.8,1361910.835
7-Jan-06,7,1,16,54.24,1350972.501
7-Jan-06,7,1,17,53.04,1434216.868
7-Jan-06,7,1,18,49.2,1666247.6
7-Jan-06,7,1,19,45.12,1945043.296
7-Jan-06,7,1,20,42.48,2076933.688
7-Jan-06,7,1,21,41.48,2105590.909
7-Jan-06,7,1,22,40.4,2083159.948
7-Jan-06,7,1,23,39.76,1985997.387
7-Jan-06,7,1,24,38.88,1871880.642
8-Jan-06,8,1,1,37.56,1833328.137
8-Jan-06,8,1,2,36.64,1877783.186
8-Jan-06,8,1,3,35.44,1963875.906
8-Jan-06,8,1,4,35.64,1971086.576
8-Jan-06,8,1,5,35.44,2031158.167
8-Jan-06,8,1,6,35.4,2118496.959
8-Jan-06,8,1,7,34.36,2344330.562
8-Jan-06,8,1,8,35.32,2464854.244
8-Jan-06,8,1,9,43.28,2068577.368
8-Jan-06,8,1,10,51.04,1695990.643
8-Jan-06,8,1,11,57.28,1433813.032
8-Jan-06,8,1,12,60.64,1293510.007
8-Jan-06,8,1,13,62.84,1181301.695
8-Jan-06,8,1,14,64.08,1088765.524
8-Jan-06,8,1,15,64.52,1044796.862
8-Jan-06,8,1,16,64.48,1058753.021
8-Jan-06,8,1,17,63,1130899.484
8-Jan-06,8,1,18,58.76,1278011.62
8-Jan-06,8,1,19,54.44,1466646.954
8-Jan-06,8,1,20,52.12,1562693.454
8-Jan-06,8,1,21,50.68,1548480.901
8-Jan-06,8,1,22,49.08,1543770.644
8-Jan-06,8,1,23,48.16,1463787.493
8-Jan-06,8,1,24,47.6,1332443.012
9-Jan-06,9,1,1,46.56,1301693.135
9-Jan-06,9,1,2,45.8,1316598.958
9-Jan-06,9,1,3,45,1355256.855
9-Jan-06,9,1,4,44.96,1368872.648
9-Jan-06,9,1,5,43.76,1488918.641
9-Jan-06,9,1,6,43.16,1624005.252
9-Jan-06,9,1,7,42.08,1881866.758
9-Jan-06,9,1,8,43.8,1937037.716
9-Jan-06,9,1,9,51.56,1592140.232
9-Jan-06,9,1,10,59.04,1342194.739
9-Jan-06,9,1,11,64.04,1206028.927
9-Jan-06,9,1,12,67.04,1143026.544
9-Jan-06,9,1,13,69.08,1070958.18
9-Jan-06,9,1,14,69.88,1024458.384
9-Jan-06,9,1,15,70.36,1009024.421
9-Jan-06,9,1,16,70.44,1034920.676
9-Jan-06,9,1,17,68.96,1093087.544
9-Jan-06,9,1,18,63.2,1197310.957
9-Jan-06,9,1,19,58.44,1337720.696
9-Jan-06,9,1,20,56.56,1414282.463
9-Jan-06,9,1,21,54.84,1376734.542
9-Jan-06,9,1,22,53.44,1333237.443
9-Jan-06,9,1,23,52.6,1244322.155
9-Jan-06,9,1,24,52.24,1107710.103
10-Jan-06,10,1,1,50.8,1089040.778
10-Jan-06,10,1,2,50.08,1090741.531
10-Jan-06,10,1,3,49.8,1089353.558
10-Jan-06,10,1,4,49.96,1086800.334
10-Jan-06,10,1,5,50.08,1115568.336
10-Jan-06,10,1,6,49.76,1233122.883
10-Jan-06,10,1,7,50.2,1396727.693
10-Jan-06,10,1,8,51.68,1473802.063
10-Jan-06,10,1,9,57.4,1323699.96
10-Jan-06,10,1,10,63.36,1190175.599
10-Jan-06,10,1,11,68.72,1120069.921
10-Jan-06,10,1,12,71.32,1096672.084
10-Jan-06,10,1,13,72.8,1067124.213
10-Jan-06,10,1,14,73.72,1048079.905
10-Jan-06,10,1,15,73.36,1036654.727
10-Jan-06,10,1,16,72.92,1064217.636
10-Jan-06,10,1,17,71.48,1116470.99
10-Jan-06,10,1,18,68.56,1182552.706
10-Jan-06,10,1,19,65.2,1257034.988
10-Jan-06,10,1,20,63.88,1309711.347
10-Jan-06,10,1,21,63.12,1300856.727
10-Jan-06,10,1,22,62.52,1174104.519
10-Jan-06,10,1,23,61.96,1042557.551
10-Jan-06,10,1,24,60.68,893516.3135
11-Jan-06,11,1,1,60.4,805317.865
11-Jan-06,11,1,2,60,776725.8754
11-Jan-06,11,1,3,59.52,759053.6574
11-Jan-06,11,1,4,58.4,771694.4074
11-Jan-06,11,1,5,57.32,821927.4709
11-Jan-06,11,1,6,57.36,921009.2694
11-Jan-06,11,1,7,56.44,1117245.726
11-Jan-06,11,1,8,56.64,1243391.031
11-Jan-06,11,1,9,61.16,1187775.6
11-Jan-06,11,1,10,66.16,1120991.912
11-Jan-06,11,1,11,71.04,1099563.883
11-Jan-06,11,1,12,73.48,1091452.864
11-Jan-06,11,1,13,74.76,1082361.822
11-Jan-06,11,1,14,75.16,1067074.155
11-Jan-06,11,1,15,75.32,1072643.159
11-Jan-06,11,1,16,74.36,1090136.899
11-Jan-06,11,1,17,73.04,1141759.804
11-Jan-06,11,1,18,69.2,1186744.799
11-Jan-06,11,1,19,65.8,1256817.355
11-Jan-06,11,1,20,63.52,1316133.145
11-Jan-06,11,1,21,61.48,1298568.475
11-Jan-06,11,1,22,60.72,1178340.988
11-Jan-06,11,1,23,60.12,1058268.415
11-Jan-06,11,1,24,59.12,917099.1853
12-Jan-06,12,1,1,57.8,854022.6098
12-Jan-06,12,1,2,57.76,821053.0762
12-Jan-06,12,1,3,57.08,815496.3343
12-Jan-06,12,1,4,56.56,824182.8711
12-Jan-06,12,1,5,56.28,857743.5887
12-Jan-06,12,1,6,55.76,977360.8272
12-Jan-06,12,1,7,55.56,1156245.415
12-Jan-06,12,1,8,55.84,1282535.233
12-Jan-06,12,1,9,60.36,1211747.16
12-Jan-06,12,1,10,65.04,1162546.899
12-Jan-06,12,1,11,69.8,1111073.139
12-Jan-06,12,1,12,72.4,1087938.082
12-Jan-06,12,1,13,74.12,1065428.505
12-Jan-06,12,1,14,75.08,1056925.462
12-Jan-06,12,1,15,75.32,1064498.22
12-Jan-06,12,1,16,74.96,1097843.222
12-Jan-06,12,1,17,73.6,1148342.2
12-Jan-06,12,1,18,69.24,1184375.185
12-Jan-06,12,1,19,65.52,1255109.587
12-Jan-06,12,1,20,63.56,1319313.549
12-Jan-06,12,1,21,62.36,1298683.824
12-Jan-06,12,1,22,60.8,1176617.059
12-Jan-06,12,1,23,60.24,1056328.255
12-Jan-06,12,1,24,59.48,910994.3652
13-Jan-06,13,1,1,58.36,839919.174
13-Jan-06,13,1,2,57.64,822573.3657
13-Jan-06,13,1,3,57.72,797959.0017
13-Jan-06,13,1,4,57.44,798147.3985
13-Jan-06,13,1,5,57.2,828696.9123
13-Jan-06,13,1,6,57.12,932404.7517
13-Jan-06,13,1,7,57,1101791.922
13-Jan-06,13,1,8,57.96,1191851.813
13-Jan-06,13,1,9,61.72,1166049.483
13-Jan-06,13,1,10,65.64,1155378.492
13-Jan-06,13,1,11,69.92,1111461.969
13-Jan-06,13,1,12,72.72,1081905.309
13-Jan-06,13,1,13,73.56,1051862.461
13-Jan-06,13,1,14,74.12,1031362.179
13-Jan-06,13,1,15,73.92,1026123.068
13-Jan-06,13,1,16,72.88,1046204.943
13-Jan-06,13,1,17,71.76,1107365.552
13-Jan-06,13,1,18,70.52,1192968.604
13-Jan-06,13,1,19,68.76,1269372.238
13-Jan-06,13,1,20,68.08,1332720.415
13-Jan-06,13,1,21,67,1331315.84
13-Jan-06,13,1,22,66,1202241.473
13-Jan-06,13,1,23,64.6,1036844.442
13-Jan-06,13,1,24,62.64,873118.1878
14-Jan-06,14,1,1,59.52,813977.233
14-Jan-06,14,1,2,57.32,826940.1528
14-Jan-06,14,1,3,55.04,874089.1591
14-Jan-06,14,1,4,52.76,964426.3145
14-Jan-06,14,1,5,51.56,1055800.51
14-Jan-06,14,1,6,50.4,1220146.755
14-Jan-06,14,1,7,49.36,1468667.956
14-Jan-06,14,1,8,49.32,1635789.272
14-Jan-06,14,1,9,50.44,1690535.987
14-Jan-06,14,1,10,51.72,1698164.934
14-Jan-06,14,1,11,54.08,1591398.305
14-Jan-06,14,1,12,55.6,1490152.825
14-Jan-06,14,1,13,57.28,1360595.488
14-Jan-06,14,1,14,58.52,1251489.176
14-Jan-06,14,1,15,59.12,1185607.188
14-Jan-06,14,1,16,59.04,1171708.689
14-Jan-06,14,1,17,57.84,1231212.328
14-Jan-06,14,1,18,55.56,1377170.52
14-Jan-06,14,1,19,52.76,1552973.196
14-Jan-06,14,1,20,51.64,1578976.607
14-Jan-06,14,1,21,50.72,1547309.881
14-Jan-06,14,1,22,49.84,1510900.259
14-Jan-06,14,1,23,48.56,1459714.786
14-Jan-06,14,1,24,47.56,1361374.023
15-Jan-06,15,1,1,45.28,1384112.364
15-Jan-06,15,1,2,43.64,1455701.164
15-Jan-06,15,1,3,42.2,1544907.861
15-Jan-06,15,1,4,40.56,1679812.539
15-Jan-06,15,1,5,39.56,1805809.84
15-Jan-06,15,1,6,38.32,1993229.443
15-Jan-06,15,1,7,37.48,2228949.769
15-Jan-06,15,1,8,37.6,2405824.613
15-Jan-06,15,1,9,41.12,2306100.805
15-Jan-06,15,1,10,45,2102897.853
15-Jan-06,15,1,11,49.84,1813782.56
15-Jan-06,15,1,12,54.08,1552466.778
15-Jan-06,15,1,13,57.48,1350100.365
15-Jan-06,15,1,14,59.68,1211754.095
15-Jan-06,15,1,15,60.96,1126800.817
15-Jan-06,15,1,16,61.24,1097147.608
15-Jan-06,15,1,17,59.92,1157264.733
15-Jan-06,15,1,18,56.04,1359042.283
15-Jan-06,15,1,19,51.92,1595720.108
15-Jan-06,15,1,20,50.44,1639420.148
15-Jan-06,15,1,21,49.68,1612283.111
15-Jan-06,15,1,22,48.84,1578254.023
15-Jan-06,15,1,23,48.08,1496820.785
15-Jan-06,15,1,24,47.52,1369932.25
16-Jan-06,16,1,1,46.68,1304917.44
16-Jan-06,16,1,2,46.2,1308252.267
16-Jan-06,16,1,3,46.08,1313973.918
16-Jan-06,16,1,4,46.04,1339072.855
16-Jan-06,16,1,5,46.28,1375645.215
16-Jan-06,16,1,6,45.96,1502936.277
16-Jan-06,16,1,7,45.48,1729853.288
16-Jan-06,16,1,8,45,1939664.15
16-Jan-06,16,1,9,51,1650632.139
16-Jan-06,16,1,10,56.8,1431345.197
16-Jan-06,16,1,11,62.12,1283321.352
16-Jan-06,16,1,12,64.56,1208978.838
16-Jan-06,16,1,13,66.88,1108018.968
16-Jan-06,16,1,14,68.28,1009144.178
16-Jan-06,16,1,15,68.92,968865.1808
16-Jan-06,16,1,16,68.52,988473.9303
16-Jan-06,16,1,17,66.88,1051196.462
16-Jan-06,16,1,18,62.68,1164813.553
16-Jan-06,16,1,19,58.48,1324673.453
16-Jan-06,16,1,20,55.72,1417855.233
16-Jan-06,16,1,21,54.24,1386392.873
16-Jan-06,16,1,22,52.88,1359922.196
16-Jan-06,16,1,23,52.04,1279257.784
16-Jan-06,16,1,24,50.84,1186181.137
17-Jan-06,17,1,1,51.48,1068230.581
17-Jan-06,17,1,2,51.08,1054596.183
17-Jan-06,17,1,3,51,1042233.399
17-Jan-06,17,1,4,51.4,1025496.283
17-Jan-06,17,1,5,51.48,1057037.611
17-Jan-06,17,1,6,51.76,1144431.518
17-Jan-06,17,1,7,52.56,1283495.625
17-Jan-06,17,1,8,54.8,1318265.593
17-Jan-06,17,1,9,59.44,1238589.783
17-Jan-06,17,1,10,63.84,1192178.071
17-Jan-06,17,1,11,68.72,1131439.764
17-Jan-06,17,1,12,71.48,1085264.784
17-Jan-06,17,1,13,73.2,1022203.234
17-Jan-06,17,1,14,74.04,995919.4641
17-Jan-06,17,1,15,74.16,993539.9393
17-Jan-06,17,1,16,74.48,1033042.165
17-Jan-06,17,1,17,73.32,1086859.26
17-Jan-06,17,1,18,71.12,1156186.629
17-Jan-06,17,1,19,69.16,1242480.952
17-Jan-06,17,1,20,67.44,1302912.903
17-Jan-06,17,1,21,66.48,1288423.813
17-Jan-06,17,1,22,66.16,1171492.238
17-Jan-06,17,1,23,64.4,1008182.658
17-Jan-06,17,1,24,62.4,851279.1917
18-Jan-06,18,1,1,60.28,774553.1353
18-Jan-06,18,1,2,58.76,768004.3957
18-Jan-06,18,1,3,57.16,784073.6676
18-Jan-06,18,1,4,56.52,798869.333
18-Jan-06,18,1,5,54.44,905469.8748
18-Jan-06,18,1,6,52.96,1076826.069
18-Jan-06,18,1,7,51.08,1364585.43
18-Jan-06,18,1,8,49.84,1602363.259
18-Jan-06,18,1,9,50.8,1661203.036
18-Jan-06,18,1,10,52.4,1651195.547
18-Jan-06,18,1,11,53.88,1599880.242
18-Jan-06,18,1,12,55.56,1490666.34
18-Jan-06,18,1,13,56.8,1371847.929
18-Jan-06,18,1,14,57.6,1269373.788
18-Jan-06,18,1,15,58.32,1197603.777
18-Jan-06,18,1,16,58.36,1189765.407
18-Jan-06,18,1,17,57.04,1272312.235
18-Jan-06,18,1,18,53.08,1486053.335
18-Jan-06,18,1,19,47.96,1794628.674
18-Jan-06,18,1,20,46.08,1875286.848
18-Jan-06,18,1,21,43.84,1992103.841
18-Jan-06,18,1,22,43.2,1957613.136
18-Jan-06,18,1,23,42.16,1897361.36
18-Jan-06,18,1,24,41.76,1761184.967
19-Jan-06,19,1,1,38.12,1867085.216
19-Jan-06,19,1,2,38.52,1813413.783
19-Jan-06,19,1,3,38.04,1849602.881
19-Jan-06,19,1,4,37.68,1905584.811
19-Jan-06,19,1,5,38.2,1924312.602
19-Jan-06,19,1,6,38.08,2035526.463
19-Jan-06,19,1,7,38.2,2208638.358
19-Jan-06,19,1,8,39.4,2316953.433
19-Jan-06,19,1,9,46.92,1927429.924
19-Jan-06,19,1,10,53.8,1582497.118
19-Jan-06,19,1,11,58.96,1389332.045
19-Jan-06,19,1,12,62.48,1254052.192
19-Jan-06,19,1,13,64.4,1152781.777
19-Jan-06,19,1,14,65.8,1072770.474
19-Jan-06,19,1,15,66.44,1022404.285
19-Jan-06,19,1,16,66.56,1022528.435
19-Jan-06,19,1,17,65.28,1081695.143
19-Jan-06,19,1,18,62.24,1206432.222
19-Jan-06,19,1,19,58.24,1338563.033
19-Jan-06,19,1,20,55.72,1419992.441
19-Jan-06,19,1,21,54.24,1393451.872
19-Jan-06,19,1,22,53.92,1329772.894
19-Jan-06,19,1,23,53.12,1250991.514
19-Jan-06,19,1,24,51.32,1188787.398
20-Jan-06,20,1,1,51.12,1084723.503
20-Jan-06,20,1,2,51.08,1055519.294
20-Jan-06,20,1,3,50.8,1053185.081
20-Jan-06,20,1,4,50.72,1062360.927
20-Jan-06,20,1,5,50.76,1097333.823
20-Jan-06,20,1,6,51.04,1185143.34
20-Jan-06,20,1,7,51.12,1370828.999
20-Jan-06,20,1,8,52.64,1444428.694
20-Jan-06,20,1,9,57.92,1312696.051
20-Jan-06,20,1,10,62.88,1222257.166
20-Jan-06,20,1,11,68.12,1126370.122
20-Jan-06,20,1,12,71.56,1082851.421
20-Jan-06,20,1,13,72.84,1043015.447
20-Jan-06,20,1,14,73.48,1006083.25
20-Jan-06,20,1,15,73.68,991170.0612
20-Jan-06,20,1,16,73.24,1008559.677
20-Jan-06,20,1,17,71.92,1058912.161
20-Jan-06,20,1,18,70.08,1140758.94
20-Jan-06,20,1,19,68.2,1237046.978
20-Jan-06,20,1,20,67.04,1279664.084
20-Jan-06,20,1,21,66.52,1263002.634
20-Jan-06,20,1,22,65.72,1140994.571
20-Jan-06,20,1,23,64.88,990639.9283
20-Jan-06,20,1,24,63.8,830721.3749
21-Jan-06,21,1,1,64.12,735200.9735
21-Jan-06,21,1,2,63.96,704836.2521
21-Jan-06,21,1,3,64.08,678313.8947
21-Jan-06,21,1,4,63.84,666017.8379
21-Jan-06,21,1,5,64.24,676634.8437
21-Jan-06,21,1,6,63.8,779002.3015
21-Jan-06,21,1,7,63.08,927224.9346
21-Jan-06,21,1,8,62.76,1041266.189
21-Jan-06,21,1,9,66.12,1044755.392
21-Jan-06,21,1,10,69.32,1048064.191
21-Jan-06,21,1,11,72.72,1055343.409
21-Jan-06,21,1,12,74.56,1066909.134
21-Jan-06,21,1,13,76.16,1058076.157
21-Jan-06,21,1,14,77.08,1051943.263
21-Jan-06,21,1,15,77.36,1053885.479
21-Jan-06,21,1,16,76.92,1072699.924
21-Jan-06,21,1,17,75.96,1116619.046
21-Jan-06,21,1,18,72.4,1155133.906
21-Jan-06,21,1,19,69.12,1241813.153
21-Jan-06,21,1,20,67.84,1280962.416
21-Jan-06,21,1,21,66.6,1258275.052
21-Jan-06,21,1,22,65.88,1135822.677
21-Jan-06,21,1,23,65.4,983851.19
21-Jan-06,21,1,24,64.8,820368.022
22-Jan-06,22,1,1,63.92,737239.4813
22-Jan-06,22,1,2,63.96,705292.7439
22-Jan-06,22,1,3,63.6,683897.9246
22-Jan-06,22,1,4,64,665507.9918
22-Jan-06,22,1,5,64.24,677953.3589
22-Jan-06,22,1,6,64.28,773547.7251
22-Jan-06,22,1,7,64.44,899292.4595
22-Jan-06,22,1,8,64.6,991242.6178
22-Jan-06,22,1,9,66.6,1027824.521
22-Jan-06,22,1,10,70.04,1027674.187
22-Jan-06,22,1,11,73,1048867.661
22-Jan-06,22,1,12,75.24,1067116.939
22-Jan-06,22,1,13,76.6,1067554.844
22-Jan-06,22,1,14,77.44,1068729.578
22-Jan-06,22,1,15,77.72,1070242.205
22-Jan-06,22,1,16,77.48,1090277.821
22-Jan-06,22,1,17,76.16,1121202.004
22-Jan-06,22,1,18,73.72,1172224.864
22-Jan-06,22,1,19,71,1252278.59
22-Jan-06,22,1,20,69.32,1287760.971
22-Jan-06,22,1,21,68.68,1268996.253
22-Jan-06,22,1,22,68.2,1160595.82
22-Jan-06,22,1,23,67.76,986429.0165
22-Jan-06,22,1,24,67.28,812370.2895
23-Jan-06,23,1,1,67.16,712048.6072
23-Jan-06,23,1,2,66.84,683792.2206
23-Jan-06,23,1,3,66.56,658869.32
23-Jan-06,23,1,4,66.4,641933.7101
23-Jan-06,23,1,5,66.2,655373.78
23-Jan-06,23,1,6,66.16,748124.9337
23-Jan-06,23,1,7,65.88,868715.4001
23-Jan-06,23,1,8,66.56,937663.1212
23-Jan-06,23,1,9,68.76,967944.3983
23-Jan-06,23,1,10,71.2,1002931.688
23-Jan-06,23,1,11,73.8,1041782.984
23-Jan-06,23,1,12,75.72,1068738.797
23-Jan-06,23,1,13,77.24,1080720.413
23-Jan-06,23,1,14,77.72,1082541.134
23-Jan-06,23,1,15,77.72,1080846.976
23-Jan-06,23,1,16,77.44,1097045.993
23-Jan-06,23,1,17,76.24,1127901.631
23-Jan-06,23,1,18,73.68,1181126.814
23-Jan-06,23,1,19,71.44,1260272.287
23-Jan-06,23,1,20,70.16,1294188.813
23-Jan-06,23,1,21,69.68,1274662.758
23-Jan-06,23,1,22,69.2,1169893.329
23-Jan-06,23,1,23,68.56,983548.8348
23-Jan-06,23,1,24,68.4,806624.2982
24-Jan-06,24,1,1,67.56,706897.1326
24-Jan-06,24,1,2,66.76,681231.7488
24-Jan-06,24,1,3,66.32,657930.8699
24-Jan-06,24,1,4,66.4,639859.4549
24-Jan-06,24,1,5,65.92,656558.5925
24-Jan-06,24,1,6,65.6,753291.5196
24-Jan-06,24,1,7,65.4,876479.4191
24-Jan-06,24,1,8,66.08,945515.5931
24-Jan-06,24,1,9,67.52,991720.0025
24-Jan-06,24,1,10,69.76,1021650.732
24-Jan-06,24,1,11,72.28,1045382.056
24-Jan-06,24,1,12,73.96,1062128.278
24-Jan-06,24,1,13,74.2,1044626.128
24-Jan-06,24,1,14,75.08,1030683.531
24-Jan-06,24,1,15,75.48,1037064.431
24-Jan-06,24,1,16,74.72,1051471.521
24-Jan-06,24,1,17,73.08,1092498.026
24-Jan-06,24,1,18,70.76,1179673.592
24-Jan-06,24,1,19,67.2,1251128.228
24-Jan-06,24,1,20,65.48,1286331.316
24-Jan-06,24,1,21,64,1263237.069
24-Jan-06,24,1,22,63.04,1138039.029
24-Jan-06,24,1,23,62.2,1011333.087
24-Jan-06,24,1,24,61.16,865761.8407
25-Jan-06,25,1,1,59.08,826336.1135
25-Jan-06,25,1,2,57.6,830370.2919
25-Jan-06,25,1,3,56.16,853224.0587
25-Jan-06,25,1,4,54.64,909146.9342
25-Jan-06,25,1,5,53.2,1007290.843
25-Jan-06,25,1,6,51.48,1199686.628
25-Jan-06,25,1,7,50.04,1474298.239
