Date,Day of week,Month,Hour,Temperature,Load,,,
1/6/2002,6,1,21,55.24,1325391,,,
1/6/2002,6,1,22,53.96,1266657,,,
1/6/2002,6,1,23,52.56,1178158,,,
1/6/2002,6,1,24,51.48,1084087,,,
1/7/2002,7,1,1,51.12,1023048,,,
1/7/2002,7,1,2,50.04,1012136,,,
1/7/2002,7,1,3,49.32,1027816,,,
1/7/2002,7,1,4,48.36,1055278,,,
1/7/2002,7,1,5,46.88,1139646,,,
1/7/2002,7,1,6,45.72,1332646,,,
1/7/2002,7,1,7,45.24,1600928,,,
1/7/2002,7,1,8,44.8,1699503,,,
1/7/2002,7,1,9,47.32,1646057,,,
1/7/2002,7,1,10,49.68,1525405,,,
1/7/2002,7,1,11,52.12,1442199,,,
1/7/2002,7,1,12,53.4,1416043,,,
1/7/2002,7,1,13,54.36,1383722,,,
1/7/2002,7,1,14,54.28,1343702,,,
1/7/2002,7,1,15,54.08,1340583,,,
1/7/2002,7,1,16,53.68,1378452,,,
1/7/2002,7,1,17,52.24,1484364,,,
1/7/2002,7,1,18,50.08,1732290,,,
1/7/2002,7,1,19,47.4,2000201,,,
1/7/2002,7,1,20,45.84,2059685,,,
1/7/2002,7,1,21,44.24,2045227,,,
1/7/2002,7,1,22,42.56,1979832,,,
1/7/2002,7,1,23,40.88,1857638,,,
1/7/2002,7,1,24,40.44,1749156,,,
1/8/2002,8,1,1,37.92,1715610,,,
1/8/2002,8,1,2,37.28,1751294,,,
1/8/2002,8,1,3,36.48,1820746,,,
1/8/2002,8,1,4,35.48,1912470,,,
1/8/2002,8,1,5,34.12,2040578,,,
1/8/2002,8,1,6,33.24,2278927,,,
1/8/2002,8,1,7,32.2,2563113,,,
1/8/2002,8,1,8,32.56,2539939,,,
1/8/2002,8,1,9,37,2436897,,,
1/8/2002,8,1,10,40.92,2198213,,,
1/8/2002,8,1,11,44.72,1931112,,,
1/8/2002,8,1,12,46.96,1717011,,,
1/8/2002,8,1,13,49.08,1547420,,,
1/8/2002,8,1,14,51.2,1405947,,,
1/8/2002,8,1,15,52.36,1313752,,,
1/8/2002,8,1,16,52.52,1298829,,,
1/8/2002,8,1,17,51.28,1402963,,,
1/8/2002,8,1,18,47.32,1681690,,,
1/8/2002,8,1,19,42.56,2036990,,,
1/8/2002,8,1,20,40.32,2184852,,,
1/8/2002,8,1,21,38.88,2270117,,,
1/8/2002,8,1,22,37.04,2272113,,,
1/8/2002,8,1,23,35.6,2195409,,,
1/8/2002,8,1,24,35.8,2117630,,,
1/9/2002,9,1,1,35.52,2110566,,,
1/9/2002,9,1,2,33.52,2162937,,,
1/9/2002,9,1,3,33.08,2230965,,,
1/9/2002,9,1,4,32.04,2311682,,,
1/9/2002,9,1,5,31.64,2415660,,,
1/9/2002,9,1,6,31.48,2612251,,,
1/9/2002,9,1,7,30.8,2753814,,,
1/9/2002,9,1,8,31.52,2758670,,,
1/9/2002,9,1,9,38.12,2558234,,,
1/9/2002,9,1,10,45.32,2311710,,,
1/9/2002,9,1,11,51.44,1904962,,,
1/9/2002,9,1,12,54.84,1597640,,,
1/9/2002,9,1,13,57.48,1374737,,,
1/9/2002,9,1,14,59.24,1208446,,,
1/9/2002,9,1,15,60.6,1100855,,,
1/9/2002,9,1,16,60.96,1073283,,,
1/9/2002,9,1,17,60.12,1126684,,,
1/9/2002,9,1,18,55.8,1323257,,,
1/9/2002,9,1,19,51.76,1599114,,,
1/9/2002,9,1,20,49.6,1694863,,,
1/9/2002,9,1,21,48.6,1734967,,,
1/9/2002,9,1,22,45.88,1716726,,,
1/9/2002,9,1,23,44.2,1630621,,,
1/9/2002,9,1,24,43.72,1531129,,,
1/10/2002,10,1,1,43.48,1485007,,,
1/10/2002,10,1,2,41.44,1501558,,,
1/10/2002,10,1,3,40.16,1543441,,,
1/10/2002,10,1,4,40,1597884,,,
1/10/2002,10,1,5,39.16,1684665,,,
1/10/2002,10,1,6,39.04,1878816,,,
1/10/2002,10,1,7,38.48,2155825,,,
1/10/2002,10,1,8,39.32,2192188,,,
1/10/2002,10,1,9,47.72,1993821,,,
1/10/2002,10,1,10,55.44,1664232,,,
1/10/2002,10,1,11,61.84,1377462,,,
1/10/2002,10,1,12,65.16,1179776,,,
1/10/2002,10,1,13,67.44,1051288,,,
1/10/2002,10,1,14,68.88,970851,,,
1/10/2002,10,1,15,69.04,925444,,,
1/10/2002,10,1,16,68.76,921797,,,
1/10/2002,10,1,17,67.36,965703,,,
1/10/2002,10,1,18,61.92,1095213,,,
1/10/2002,10,1,19,57.24,1327251,,,
1/10/2002,10,1,20,54.8,1395224,,,
1/10/2002,10,1,21,52.76,1397333,,,
1/10/2002,10,1,22,50.76,1364713,,,
1/10/2002,10,1,23,49.48,1306195,,,
1/10/2002,10,1,24,47.84,1215066,,,
1/11/2002,11,1,1,47.28,1170991,,,
1/11/2002,11,1,2,47.08,1189108,,,
1/11/2002,11,1,3,46.12,1235406,,,
1/11/2002,11,1,4,45.68,1297160,,,
1/11/2002,11,1,5,45,1389561,,,
1/11/2002,11,1,6,45.68,1591082,,,
1/11/2002,11,1,7,45.36,1877420,,,
1/11/2002,11,1,8,46.28,1932953,,,
1/11/2002,11,1,9,53.6,1750834,,,
1/11/2002,11,1,10,60.4,1470029,,,
1/11/2002,11,1,11,65.84,1232189,,,
1/11/2002,11,1,12,69.28,1070872,,,
1/11/2002,11,1,13,70.64,984656,,,
1/11/2002,11,1,14,71.32,935249,,,
1/11/2002,11,1,15,70.72,902917,,,
1/11/2002,11,1,16,70.48,888105,,,
1/11/2002,11,1,17,68.68,924987,,,
1/11/2002,11,1,18,65.04,1022795,,,
1/11/2002,11,1,19,61.44,1176113,,,
1/11/2002,11,1,20,59.36,1181676,,,
1/11/2002,11,1,21,57.28,1155680,,,
1/11/2002,11,1,22,55.76,1124342,,,
1/11/2002,11,1,23,54.36,1074021,,,
1/11/2002,11,1,24,54,998715,,,
1/12/2002,12,1,1,53.2,933008,,,
1/12/2002,12,1,2,52.08,913734,,,
1/12/2002,12,1,3,51.52,917856,,,
1/12/2002,12,1,4,51.32,934473,,,
1/12/2002,12,1,5,51.12,971146,,,
1/12/2002,12,1,6,50.76,1041150,,,
1/12/2002,12,1,7,50.68,1153956,,,
1/12/2002,12,1,8,51,1289000,,,
1/12/2002,12,1,9,54.64,1371760,,,
1/12/2002,12,1,10,59.4,1305861,,,
1/12/2002,12,1,11,63.96,1187211,,,
1/12/2002,12,1,12,67,1094158,,,
1/12/2002,12,1,13,68.56,1035337,,,
1/12/2002,12,1,14,69.92,987321,,,
1/12/2002,12,1,15,70.08,962229,,,
1/12/2002,12,1,16,69.32,959446,,,
1/12/2002,12,1,17,67.08,992306,,,
1/12/2002,12,1,18,64.92,1057273,,,
1/12/2002,12,1,19,63.12,1170120,,,
1/12/2002,12,1,20,62.2,1148402,,,
1/12/2002,12,1,21,61.2,1103083,,,
1/12/2002,12,1,22,60.56,1039785,,,
1/12/2002,12,1,23,59.92,957059,,,
1/12/2002,12,1,24,59.76,866163,,,
1/13/2002,13,1,1,58.68,778298,,,
1/13/2002,13,1,2,58.12,732621,,,
1/13/2002,13,1,3,56.24,728376,,,
1/13/2002,13,1,4,53.4,761314,,,
1/13/2002,13,1,5,50.96,822993,,,
1/13/2002,13,1,6,48.84,919317,,,
1/13/2002,13,1,7,47.12,1074777,,,
1/13/2002,13,1,8,46.72,1300952,,,
1/13/2002,13,1,9,49.4,1479629,,,
1/13/2002,13,1,10,52.08,1445529,,,
1/13/2002,13,1,11,55.52,1327375,,,
1/13/2002,13,1,12,58.56,1203620,,,
1/13/2002,13,1,13,60.72,1119967,,,
1/13/2002,13,1,14,62.6,1051131,,,
1/13/2002,13,1,15,64,995557,,,
1/13/2002,13,1,16,63.96,977045,,,
1/13/2002,13,1,17,62.84,1016163,,,
1/13/2002,13,1,18,58.6,1140482,,,
1/13/2002,13,1,19,53.56,1343934,,,
1/13/2002,13,1,20,53.2,1407109,,,
1/13/2002,13,1,21,52.2,1416455,,,
1/13/2002,13,1,22,50.76,1369890,,,
1/13/2002,13,1,23,50.8,1265295,,,
1/13/2002,13,1,24,50.36,1152141,,,
1/14/2002,14,1,1,49.92,1077833,,,
1/14/2002,14,1,2,50.08,1048355,,,
1/14/2002,14,1,3,50.72,1038939,,,
1/14/2002,14,1,4,51.56,1045528,,,
1/14/2002,14,1,5,52.2,1088484,,,
1/14/2002,14,1,6,52.88,1226920,,,
1/14/2002,14,1,7,53.2,1439505,,,
1/14/2002,14,1,8,53.72,1461928,,,
1/14/2002,14,1,9,55.24,1398420,,,
1/14/2002,14,1,10,56.6,1364271,,,
1/14/2002,14,1,11,58.68,1339854,,,
1/14/2002,14,1,12,59.88,1309059,,,
1/14/2002,14,1,13,60.72,1266674,,,
1/14/2002,14,1,14,61.36,1218944,,,
1/14/2002,14,1,15,62.28,1178613,,,
1/14/2002,14,1,16,62.44,1163059,,,
1/14/2002,14,1,17,62.4,1207708,,,
1/14/2002,14,1,18,61.84,1331742,,,
1/14/2002,14,1,19,61.32,1433644,,,
1/14/2002,14,1,20,61.2,1398951,,,
1/14/2002,14,1,21,61.36,1307107,,,
1/14/2002,14,1,22,61,1191178,,,
1/14/2002,14,1,23,60.36,1051008,,,
1/14/2002,14,1,24,59.4,920290,,,
1/15/2002,15,1,1,58.76,832287,,,
1/15/2002,15,1,2,58.08,800842,,,
1/15/2002,15,1,3,57.6,794056,,,
1/15/2002,15,1,4,57.12,804508,,,
1/15/2002,15,1,5,56.84,848281,,,
1/15/2002,15,1,6,56.32,985965,,,
1/15/2002,15,1,7,56.04,1210402,,,
1/15/2002,15,1,8,55.56,1266755,,,
1/15/2002,15,1,9,55.96,1221801,,,
1/15/2002,15,1,10,56.68,1188148,,,
1/15/2002,15,1,11,57.88,1139761,,,
1/15/2002,15,1,12,59.16,1069803,,,
1/15/2002,15,1,13,61.4,1007171,,,
1/15/2002,15,1,14,63.12,946201,,,
1/15/2002,15,1,15,64.16,903227,,,
1/15/2002,15,1,16,64.96,898921,,,
1/15/2002,15,1,17,63.92,940065,,,
1/15/2002,15,1,18,59.92,1066053,,,
1/15/2002,15,1,19,55.44,1291288,,,
1/15/2002,15,1,20,52.92,1362834,,,
1/15/2002,15,1,21,51,1372943,,,
1/15/2002,15,1,22,49.04,1348140,,,
1/15/2002,15,1,23,47.96,1264224,,,
1/15/2002,15,1,24,47.56,1181630,,,
1/16/2002,16,1,1,45.4,1139636,,,
1/16/2002,16,1,2,44.48,1161594,,,
1/16/2002,16,1,3,43.76,1211440,,,
1/16/2002,16,1,4,43,1279885,,,
1/16/2002,16,1,5,43.04,1387560,,,
1/16/2002,16,1,6,42.72,1620009,,,
1/16/2002,16,1,7,41.76,1941972,,,
1/16/2002,16,1,8,42.04,2022141,,,
1/16/2002,16,1,9,47.8,1856109,,,
1/16/2002,16,1,10,53.28,1579222,,,
1/16/2002,16,1,11,58.56,1339850,,,
1/16/2002,16,1,12,62.08,1163226,,,
1/16/2002,16,1,13,64.72,1045616,,,
1/16/2002,16,1,14,66.44,965621,,,
1/16/2002,16,1,15,67.24,920716,,,
1/16/2002,16,1,16,67.72,915905,,,
1/16/2002,16,1,17,66.44,963614,,,
1/16/2002,16,1,18,61.44,1089603,,,
1/16/2002,16,1,19,55.88,1317413,,,
1/16/2002,16,1,20,53.4,1387718,,,
1/16/2002,16,1,21,51.48,1408569,,,
1/16/2002,16,1,22,50.12,1394373,,,
1/16/2002,16,1,23,48.8,1310215,,,
1/16/2002,16,1,24,48.44,1207816,,,
1/17/2002,17,1,1,47.2,1157032,,,
1/17/2002,17,1,2,47,1165010,,,
1/17/2002,17,1,3,46.48,1191872,,,
1/17/2002,17,1,4,46.8,1219253,,,
1/17/2002,17,1,5,46.72,1272070,,,
1/17/2002,17,1,6,46.84,1429416,,,
1/17/2002,17,1,7,46.72,1664287,,,
1/17/2002,17,1,8,47.16,1673358,,,
1/17/2002,17,1,9,52.12,1543912,,,
1/17/2002,17,1,10,57.28,1396091,,,
1/17/2002,17,1,11,62.32,1260795,,,
1/17/2002,17,1,12,65.16,1138936,,,
1/17/2002,17,1,13,67.24,1042981,,,
1/17/2002,17,1,14,68.88,962259,,,
1/17/2002,17,1,15,70.32,914012,,,
1/17/2002,17,1,16,70.04,909260,,,
1/17/2002,17,1,17,68.84,955375,,,
1/17/2002,17,1,18,65.76,1076532,,,
1/17/2002,17,1,19,62,1272619,,,
1/17/2002,17,1,20,59.28,1319115,,,
1/17/2002,17,1,21,57.8,1297496,,,
1/17/2002,17,1,22,56.24,1235486,,,
1/17/2002,17,1,23,55.36,1132252,,,
1/17/2002,17,1,24,54.8,1016009,,,
1/18/2002,18,1,1,53.88,935651,,,
1/18/2002,18,1,2,53.36,914476,,,
1/18/2002,18,1,3,52.92,925194,,,
1/18/2002,18,1,4,52.48,946968,,,
1/18/2002,18,1,5,52.04,1008075,,,
1/18/2002,18,1,6,51.28,1182357,,,
1/18/2002,18,1,7,50.2,1457934,,,
1/18/2002,18,1,8,49.28,1533563,,,
1/18/2002,18,1,9,53.64,1425688,,,
1/18/2002,18,1,10,58.68,1253286,,,
1/18/2002,18,1,11,64.16,1111177,,,
1/18/2002,18,1,12,67.68,1008873,,,
1/18/2002,18,1,13,69.76,947300,,,
1/18/2002,18,1,14,72.2,907519,,,
1/18/2002,18,1,15,72.88,887564,,,
1/18/2002,18,1,16,72.44,890738,,,
1/18/2002,18,1,17,71.36,914941,,,
1/18/2002,18,1,18,67.8,971341,,,
1/18/2002,18,1,19,62.88,1104106,,,
1/18/2002,18,1,20,60.6,1115896,,,
1/18/2002,18,1,21,58.44,1076323,,,
1/18/2002,18,1,22,56.88,1030612,,,
1/18/2002,18,1,23,55.6,967840,,,
1/18/2002,18,1,24,55.12,888521,,,
1/19/2002,19,1,1,54.24,821502,,,
1/19/2002,19,1,2,53,801357,,,
1/19/2002,19,1,3,52.64,807927,,,
1/19/2002,19,1,4,52.04,830015,,,
1/19/2002,19,1,5,51.64,872487,,,
1/19/2002,19,1,6,51.12,960277,,,
1/19/2002,19,1,7,50.96,1081924,,,
1/19/2002,19,1,8,51.96,1236745,,,
1/19/2002,19,1,9,57.4,1303823,,,
1/19/2002,19,1,10,62.88,1216896,,,
1/19/2002,19,1,11,69.24,1102655,,,
1/19/2002,19,1,12,73.08,1021131,,,
1/19/2002,19,1,13,75.24,976952,,,
1/19/2002,19,1,14,77.08,949572,,,
1/19/2002,19,1,15,77.32,942445,,,
1/19/2002,19,1,16,77.16,951184,,,
1/19/2002,19,1,17,76.04,969064,,,
1/19/2002,19,1,18,73.24,1002625,,,
1/19/2002,19,1,19,70.36,1105749,,,
1/19/2002,19,1,20,68.84,1097992,,,
1/19/2002,19,1,21,68.32,1030608,,,
1/19/2002,19,1,22,66.72,957411,,,
1/19/2002,19,1,23,65.6,875731,,,
1/19/2002,19,1,24,64.84,780039,,,
1/20/2002,20,1,1,63.52,689188,,,
1/20/2002,20,1,2,62.48,630602,,,
1/20/2002,20,1,3,61.68,605072,,,
1/20/2002,20,1,4,60.8,597015,,,
1/20/2002,20,1,5,59.2,607643,,,
1/20/2002,20,1,6,58.88,640267,,,
1/20/2002,20,1,7,58.52,710241,,,
1/20/2002,20,1,8,58.36,821282,,,
1/20/2002,20,1,9,59.04,970171,,,
1/20/2002,20,1,10,60.52,1050116,,,
1/20/2002,20,1,11,63.44,1048437,,,
1/20/2002,20,1,12,65.92,1021913,,,
1/20/2002,20,1,13,68.4,1013959,,,
1/20/2002,20,1,14,70.68,997106,,,
1/20/2002,20,1,15,71.84,985562,,,
1/20/2002,20,1,16,71.96,984092,,,
1/20/2002,20,1,17,71.24,1008406,,,
1/20/2002,20,1,18,68.8,1052504,,,
1/20/2002,20,1,19,66.16,1160505,,,
1/20/2002,20,1,20,64.92,1148018,,,
1/20/2002,20,1,21,64.08,1076734,,,
1/20/2002,20,1,22,63.4,985805,,,
1/20/2002,20,1,23,62.92,875512,,,
1/20/2002,20,1,24,63.2,766893,,,
1/21/2002,21,1,1,62.56,671685,,,
1/21/2002,21,1,2,62.36,625495,,,
1/21/2002,21,1,3,62.2,607791,,,
1/21/2002,21,1,4,62.2,603890,,,
1/21/2002,21,1,5,62.48,627527,,,
1/21/2002,21,1,6,62.88,700254,,,
1/21/2002,21,1,7,63.6,802683,,,
1/21/2002,21,1,8,64.28,886472,,,
1/21/2002,21,1,9,65.76,955990,,,
1/21/2002,21,1,10,67.24,1023997,,,
1/21/2002,21,1,11,69.92,1056098,,,
1/21/2002,21,1,12,72.32,1063283,,,
1/21/2002,21,1,13,74.04,1055976,,,
1/21/2002,21,1,14,75.44,1045362,,,
1/21/2002,21,1,15,76.24,1044770,,,
1/21/2002,21,1,16,76.24,1051432,,,
1/21/2002,21,1,17,75.2,1082162,,,
1/21/2002,21,1,18,72.76,1151729,,,
1/21/2002,21,1,19,70.32,1273992,,,
1/21/2002,21,1,20,68.92,1267585,,,
1/21/2002,21,1,21,67.8,1179112,,,
1/21/2002,21,1,22,67.16,1073955,,,
1/21/2002,21,1,23,65.88,936436,,,
1/21/2002,21,1,24,65.16,800473,,,
1/22/2002,22,1,1,63.76,693049,,,
1/22/2002,22,1,2,63.2,649226,,,
1/22/2002,22,1,3,62.88,630062,,,
1/22/2002,22,1,4,62.92,627931,,,
1/22/2002,22,1,5,62.6,656070,,,
1/22/2002,22,1,6,61.96,766944,,,
1/22/2002,22,1,7,61.92,963857,,,
1/22/2002,22,1,8,62.4,1009685,,,
1/22/2002,22,1,9,63.32,977505,,,
1/22/2002,22,1,10,64.64,970813,,,
1/22/2002,22,1,11,67.36,967950,,,
1/22/2002,22,1,12,69.72,963550,,,
1/22/2002,22,1,13,70.76,957317,,,
1/22/2002,22,1,14,71.64,957327,,,
1/22/2002,22,1,15,72.16,954609,,,
1/22/2002,22,1,16,72.44,971096,,,
1/22/2002,22,1,17,71.52,1013781,,,
1/22/2002,22,1,18,70.04,1107548,,,
1/22/2002,22,1,19,68.32,1245605,,,
1/22/2002,22,1,20,67.64,1253752,,,
1/22/2002,22,1,21,67.24,1179464,,,
1/22/2002,22,1,22,66.92,1070532,,,
1/22/2002,22,1,23,66.24,934971,,,
1/22/2002,22,1,24,65.72,798787,,,
1/23/2002,23,1,1,65.48,695404,,,
1/23/2002,23,1,2,65,651248,,,
1/23/2002,23,1,3,65.36,635257,,,
1/23/2002,23,1,4,64.92,631757,,,
1/23/2002,23,1,5,64.88,657751,,,
1/23/2002,23,1,6,65.04,765695,,,
1/23/2002,23,1,7,65.44,957938,,,
1/23/2002,23,1,8,65.64,995774,,,
1/23/2002,23,1,9,67.96,951113,,,
1/23/2002,23,1,10,71.52,952395,,,
1/23/2002,23,1,11,74.32,974223,,,
1/23/2002,23,1,12,76.64,998993,,,
1/23/2002,23,1,13,78.48,1025372,,,
1/23/2002,23,1,14,78.84,1051169,,,
1/23/2002,23,1,15,78.8,1078078,,,
1/23/2002,23,1,16,78.64,1115396,,,
1/23/2002,23,1,17,77.36,1157794,,,
1/23/2002,23,1,18,74.84,1198090,,,
1/23/2002,23,1,19,71.4,1297211,,,
1/23/2002,23,1,20,69.36,1292556,,,
1/23/2002,23,1,21,68.72,1205048,,,
1/23/2002,23,1,22,66.8,1093792,,,
1/23/2002,23,1,23,65.72,939406,,,
1/23/2002,23,1,24,65.4,792078,,,
1/24/2002,24,1,1,64.96,680974,,,
1/24/2002,24,1,2,64.76,629715,,,
1/24/2002,24,1,3,64.2,603404,,,
1/24/2002,24,1,4,63.88,598648,,,
1/24/2002,24,1,5,63.8,623602,,,
1/24/2002,24,1,6,63.6,732516,,,
1/24/2002,24,1,7,63.32,934543,,,
1/24/2002,24,1,8,63.44,972056,,,
1/24/2002,24,1,9,66.8,930245,,,
1/24/2002,24,1,10,70.36,927902,,,
1/24/2002,24,1,11,75.08,948246,,,
1/24/2002,24,1,12,77.6,976104,,,
1/24/2002,24,1,13,78.76,1010519,,,
1/24/2002,24,1,14,79.16,1035336,,,
1/24/2002,24,1,15,79.48,1063524,,,
1/24/2002,24,1,16,78.88,1092642,,,
1/24/2002,24,1,17,78.12,1130735,,,
1/24/2002,24,1,18,75.2,1164874,,,
1/24/2002,24,1,19,72.16,1268607,,,
1/24/2002,24,1,20,70.56,1278494,,,
1/24/2002,24,1,21,69.04,1194192,,,
1/24/2002,24,1,22,67.52,1075585,,,
1/24/2002,24,1,23,67,934011,,,
1/24/2002,24,1,24,66.56,785734,,,
1/25/2002,25,1,1,66.32,678743,,,
1/25/2002,25,1,2,65.48,632592,,,
1/25/2002,25,1,3,64.96,608115,,,
1/25/2002,25,1,4,64.76,602997,,,
1/25/2002,25,1,5,63.84,625636,,,
1/25/2002,25,1,6,63.76,724773,,,
1/25/2002,25,1,7,63.96,916194,,,
1/25/2002,25,1,8,64.48,965818,,,
1/25/2002,25,1,9,67.44,938001,,,
1/25/2002,25,1,10,70.28,936414,,,
1/25/2002,25,1,11,73.24,960966,,,
1/25/2002,25,1,12,74.68,987601,,,
1/25/2002,25,1,13,75.36,1015747,,,
